LGA,Ward,Polling Unit Name
Abadam,Arege,Arege Pri. Sch.; Dogon Chuku; Metele Pri. Sch. I; Metele Pri. Sch. II; Kannama; Tumbun Mari I; Tumbun Mari II; Tumbun Gini I; Tumbun Gini II
Abadam,Banowa,Banowa Pri. Sch.; Garere Pri. Sch.; Limbari
Abadam,Fuguwa,Alla; Bulangila; Foguwa; Gawasa I; Lariski; Minare; Musugun; Nga'Am Pri. Sch.; Tallam
Abadam,Jabullam,Daya Primary School; Jabullam East; Jabullam Pri. Sch. I; Jabullam Pri. Sch. II; Yauma Wango
Abadam,Kudokurgu,"Anguwan Modu; Anguwan Sulemam; Comm. Viewing Centre; Duguri Pri. Sch.; G. S. S M/Fatori; Kudokurgu H/Centre; Kudokurgu Barracks; Limanti, Mobbarti"
Abadam,Mallamfatori Kessa,Anguwan Dinkima; Budumari; Doro Pri. Sch.; Kessa'A Lawanti; Limanti I; Limanti II; Market West; Tumbun Dan Kastina; Yashinnam
Abadam,Malam Kaunari,Afunori Pri. Sch. I; Afunori Pri. Sch. II; Busuguna Lawanti; Busuguna Gana; Kaniram
Abadam,Yau,Ngamma; Ngauro; Ngariska Pri. Sch.; Yau Pri. Sch.
Abadam,Yawa Kura,Abadam Pri. Sch. I; Abadam Pri. Sch. II; Abadam Pri. Sch. III; Bosso Kyari; Bula Gana; Yawa Kura
Abadam,Yituwa,Bazzam Balleri I; G. J. D. S. S Abadam; Njara A; Shettima Ganari; Yituwa Pri. Sch.; Bazzam Balleri II
Askira / Uba,Askira East,Askira Central; Kofar Audu Babur; Sadiq Askira I; Sadiq Askira II; Kofar Ladan I; Kofar Ladan II; Bulama Kwagi I; Bulama Kwagi II; C / Bulguma; Njoma Pri. Sch.; Bello Gajere; Yimir Ali Pri. Sch; Ibrahim Nkeki I; Ibrahim Nkeki II; Wachira Kabai; Tabang; Kofar Ladan III
Askira / Uba,Chul / Rumirgo,Ribadu Pri. Sch.; Chul Pri. Sch. I; Chul Pri. Sch. II; Kidlindila Pri. Sch I; Kidlindila Pri. Sch II; Rumirgo Pri. Sch. I; Rumirgo Pri. Sch. II; Rumirgo Pri. Sch. III; Rumirgo Pri. Sch. IV; Viewing Centre I; Viewing Centre II; Adamu Gaji; Wacthirakabi; Pubagu Pri. Sch.; Bakin Kasuwa
