Title,Artist,Year,Participation
Kabhi Tu Hoga Mera Milan,The Arid Zone,1993,Director/Producer
Sari Sari Raat,Ustaad Nusrat Fateh Ali Khan,1995,Director/Producer
Khilona,Strings,1995,Director/Producer
Insay Nain Mila kay Dekho,Najam Shiraz,1995,Actor/Director
Active,Shehzad Roy,1995,Director/Producer
Sohni Mahinwal,Collage,1995,Director/Producer
Loori,Strings,1995,Director/Producer
Raat,Rizwan,1995,Director/Producer
Deewana,Mohsin Raza,1995,Director/Producer
Tanhai,Fringe Benefits,1995,Director/Producer
Bhangra Rap 2,Fakhar-e-Alam,1995,Director/Producer
Aakhir Kyun,Jazba,1994,Director/Producer
Aey Naz,Khalid Anum,1994,Director/Producer
Socho Kabhi,Nadeem Jafri,1994,Director/Producer
Gadi Bhar Kay,The Arid Zone,1994,Director/Producer
Jago,Jazba,1995,Director/Producer
Saathiya,Komal Rizvi,1994,Producer/Director
Aaja Janejaan,Heart Communications,1995,Director/Producer
Gori Zara Hans Kay Dekhana,Fakhar-e-Alam & Nadeem Jafri,1995,Director/Producer
Roshni,Mohsin Raza,1995,Director/Producer
Yeh Zindagi,Fringe Benefits,1995,Director/Producer
Meri Umeed,Nadeem Jafri,1995,Director/Producer
Yadain,Sequencers,1995,Director/Producer
Challah,Aamir Saleem,1995,Director Producer
Aag,Milestones,1995,Director/Producer
Fasla,Collage,1995,Director/Producer
Main Tujhay Dhondhoon,Alamgir,1995,Director/Producer
Kabhi Tu Hoga Mera Milan,The Arid Zone,1993,Director/Producer
Janejaan,Milesones,1995,Director/Producer
Aa Heeriyeah,Collage,1995,Director/Producer
Aankhon Aankhon Main,Sequencers,1994,Director/Producer
Laut Aao Na,The Arid Zone,1994,Director/Producer
Kal Raat,The Arid Zone,1994,Director/Producer
Tu Hai Jahan,The Arid Zone,1994,Director/Producer
Teri Aankhoon ki Qasam,Zubin Shah,1997,Director/Producer
Tu Jo Mila,Komal Rizvi,1997,Director/Producer
Chali Aaon,The Arid Zone,1994,Director/Producer
Bholna,Sequencers,1995,Producer/Director
Dekho,Komal Rizvi,1997,Director/Producer
Parbat,Komal Rizvi,1996,Director/Producer
Hatto Bacho,Hassan Jehangir,1998,Director/Producer
Tum Sung Naina,Sadaf Munir,1999,Director/Producer
Chiraatlah,Raheem Shah,2000,Director/Producer
Oh My Love,Yasir Akhtar,2001,Singer/Director/Producer
Aey Sanam,Yasir Akhtar,1995,Singer/Director/Producer
Chan Mai,Yasir Akhtar,2001,Singer/Director/Producer
Stop the War,"Nasir Khan, Cheshire Cat, Nas-T & Man-E",2008,Director
Dil Lena,Mirza MC / JKD,2009,Director/Producer
Jachda,Kaz Khan,2010,Director/Producer
Tera Mukhra,Mirza MC featuring JKD,2011,Director/Producer
Cham Cham,Apache Indian/JKD/Mirza MC,2011,Director/Producer
Majaja,Mirza MC featuring I.G.Ali,2012,Director/Producer
Tere Bina Ye Suna,Babar Malik,2012,Director/Producer
Judaa,Rehan Siddiqui,2013,Director/Producer
Insaf,Kaz Khan,2014,Director/Producer
Pagal Jiya,Apache Indian/Sheeba Khan,2015,Director/Producer
Sansani-The Sensation,Yasir Akhtar,2015,Director/Producer
Araam Naal Kar,Yasir Akhtar,2017,Director/Producer
AssalamuaAlaika Ya Nabi,Yasir Akhtar,2018,Director/Producer
Saiyaan,Yasir Akhtar,2020,Director/Producer
