Opposing Team,For,Against,Date,Venue,Status
Devon,55,4,16 September 1905,"County Ground, Exeter",Tour match
Cornwall,41,0,21 September 1905,"Recreation Ground, Camborne",Tour match
Bristol,41,0,23 September 1905,"Memorial Ground, Bristol",Tour match
Northampton,32,0,28 September 1905,"Northampton Ground, Northampton",Tour match
Leicester,28,0,01 October 1905,"Welford Road, Leicester",Tour match
Middlesex,34,0,04 October 1905,"Stamford Bridge, London",Tour match
Durham,16,3,07 October 1905,"Hollow Drift, Durham",Tour match
Hartlepool Clubs,63,0,11 October 1905,"Hartlepool Rovers' Ground, Hartlepool",Tour match
Northumberland,31,0,14 October 1905,"Percy Park RFC Ground, North Shields",Tour match
Gloucester,44,0,19 October 1905,"Kingsholm, Gloucester",Tour match
Somerset,23,0,21 October 1905,"Jarvis's Field, Taunton",Tour match
Devonport Albion,21,3,25 October 1905,"Rectory Ground, Devonport Plymouth",Tour match
Midland Counties,21,5,28 October 1905,"Welford Road, Leicester",Tour match
Surrey,11,0,01 November 1905,"Richmond Athletic Ground, London",Tour match
Blackheath,32,0,04 November 1905,"Rectory Field, London",Tour match
Oxford University,47,0,07 November 1905,"Iffley Road, Oxford",Tour match
Cambridge University,14,0,09 November 1905,"Grange Road, Cambridge",Tour match
Richmond,17,0,11 November 1905,"Richmond Athletic Ground, London",Tour match
Bedford XV,41,0,15 November 1905,"Goldington Road, Bedford",Tour match
Scotland,12,7,18 November 1905,"Inverleith, Edinburgh",Test match
West of Scotland,22,0,22 November 1905,"Hampden Park, Glasgow",Tour match
Ireland,15,0,25 November 1905,"Lansdowne Road, Dublin",Test match
Munster,33,0,28 November 1905,"Market's Field, Limerick",Tour match
England,15,0,02 December 1905,"Crystal Palace, London",Test match
Cheltenham,18,0,06 December 1905,"Athletic and Recreation Ground, Cheltenham",Tour match
Cheshire,34,0,09 December 1905,"Birkenhead Park, Birkenhead",Tour match
Yorkshire,40,0,13 December 1905,"Headingley, Leeds",Tour match
Wales,0,3,16 December 1905,"Cardiff Arms Park, Cardiff",Test match
Glamorgan,9,0,21 December 1905,"St Helen's, Swansea",Tour match
Newport,6,3,23 December 1905,"Athletic Ground, Newport",Tour match
Cardiff,10,8,26 December 1905,"Cardiff Arms Park, Cardiff",Tour match
Swansea,4,3,30 December 1905,"St Helen's, Swansea",Tour match
France,38,8,01 January 1906,"Stade Colombes, Paris",Test match
British Columbia,43,6,10 February 1906,"University of California Ground, Berkeley",Tour match
British Columbia,65,6,13 February 1906,"Recreation Park, San Francisco",Tour match
Total Points,976,59,,,
