Games,Commentary team
FIFA Soccer 96,John Motson
FIFA 97,John Motson and Andy Gray
FIFA: Road to World Cup 98,John Motson and Andy Gray
FIFA 99,John Motson and Chris Waddle
FIFA 2000,John Motson and Mark Lawrenson  Phil Schoen and Julie Foudy
FIFA 2001,John Motson and Mark Lawrenson
FIFA Football 2002,John Motson and Andy Gray
FIFA Football 2003,John Motson and Ally McCoist
FIFA Football 2004,John Motson and Ally McCoist
FIFA Football 2005,John Motson and Ally McCoist
FIFA 06,Clive Tyldesley and Andy Gray
FIFA 06: Road to FIFA World Cup,Martin Tyler and Andy Gray
FIFA 07,Clive Tyldesley or Martin Tyler and Andy Gray
FIFA 08,Clive Tyldesley or Martin Tyler and Andy Gray
FIFA 09,Clive Tyldesley or Martin Tyler and Andy Gray
FIFA 10,Clive Tyldesley or Martin Tyler and Andy Gray
FIFA 11,Clive Tyldesley or Martin Tyler and Andy Gray
FIFA 12,Martin Tyler and Alan Smith & Clive Tyldesley and Andy Townsend
FIFA 13,Martin Tyler and Alan Smith & Clive Tyldesley and Andy Townsend
FIFA 14,Martin Tyler and Alan Smith & Clive Tyldesley and Andy Townsend
FIFA 15,Martin Tyler and Alan Smith & Clive Tyldesley and Andy Townsend
FIFA 16,Martin Tyler and Alan Smith & Clive Tyldesley and Andy Townsend
FIFA 17,Martin Tyler and Alan Smith & Clive Tyldesley and Andy Townsend
FIFA 18,Martin Tyler and Alan Smith
FIFA 19,Martin Tyler and Alan Smith & Derek Rae and Lee Dixon
FIFA 20,Martin Tyler and Alan Smith & Derek Rae and Lee Dixon
FIFA 21,Derek Rae and Lee Dixon
FIFA 22,Derek Rae and Stewart Robson
FIFA 23,Derek Rae and Stewart Robson
