Week,FedEx Air Player of the Week,FedEx Ground Player of the Week,Pepsi Zero Sugar Rookie of the Week
1,Tom Brady,Joe Mixon,Ja'Marr Chase WR
2,Tom Brady,Derrick Henry,Asante Samuel Jr. CB
3,Justin Herbert,Derrick Henry,Asante Samuel Jr. CB
4,Joe Burrow,Ezekiel Elliott,Zach Wilson QB
5,Justin Herbert,Derrick Henry,Ja'Marr Chase WR
6,Dak Prescott,Jonathan Taylor,Ja'Marr Chase WR
7,Joe Burrow,D'Ernest Johnson,Ja'Marr Chase WR
8,Mike White,Elijah Mitchell,Micah Parsons LB
9,Justin Herbert,Nick Chubb,Javonte Williams RB
10,Dak Prescott,Jonathan Taylor,Micah Parsons LB
11,Justin Herbert,Joe Mixon,Elijah Moore WR
12,Dak Prescott,Joe Mixon,Patrick Surtain II CB
13,Justin Herbert,Jonathan Taylor,Zach Wilson QB
14,Justin Herbert,Dalvin Cook,Micah Parsons LB
15,Jared Goff,Jonathan Taylor,Brandin Echols CB
16,Joe Burrow,Rex Burkhead,Zach Wilson QB
17,Joe Burrow,Rashaad Penny,Ja'Marr Chase WR
18,Tom Brady,Rashaad Penny,Amon-Ra St. Brown WR
