Title,Ep.#,Code,Airdate,Director,Writer(s)
Trees Company,79,HDA3-001,08 February 1989,Sally Brady,Kym Goldsworthy
A Losing Battle,80,HDA3-002,15 February 1989,Sally Brady,"Gary Reilly, John Flanagan"
The Girl on the Cutting Room Floor,81,HDA3-003,22 February 1989,Sally Brady,"Ken Matthews, David Witt"
The Late Miss Kelly,82,HDA3-004,01 March 1989,Sally Brady,"Gary Reilly, John Flanagan"
A Question of Royalty,83,HDA3-005,08 March 1989,Sally Brady,"Bill Young, Kym Goldsworthy"
Generation Scrap,84,HDA3-006,15 March 1989,Sally Brady,John Flanagan
May the Farce Be with You,85,HDA3-007,22 March 1989,Sally Brady,"Kym Goldsworthy, Bill Young"
Three's a Crowd,86,HDA3-008,29 March 1989,Sally Brady,John Flanagan
For the Love of Martin,87,HDA3-009,05 April 1989,Sally Brady,Hugh Stuckey
Kissing Cousins,88,HDA3-010,12 April 1989,Sally Brady,"Gary Reilly, John Flanagan"
Betty's Better Letterhead,89,HDA3-011,19 April 1989,Sally Brady,"Ken Matthews, David Witt"
Job for the Boy,90,HDA3-012,26 April 1989,Sally Brady,"Gary Reilly, John Flanagan"
That's Shoe Biz,91,HDA3-013,03 May 1989,Sally Brady,Stephen Quinn
Betty's Wedding - Part 1,92,HDA3-014,10 May 1989,Sally Brady,"Gary Reilly, John Flanagan"
Betty's Wedding - Part 2,93,HDA3-015,17 May 1989,Sally Brady,"Gary Reilly, John Flanagan"
The Double Date,94,HDA3-016,24 May 1989,Sally Brady,"Kym Goldsworthy, Ian Rochford"
The Beat Goes Wrong,95,HDA3-017,31 May 1989,Sally Brady,"Gary Reilly, John Flanagan"
Banana Republic Blues,96,HDA3-018,07 June 1989,Sally Brady,"Kym Goldsworthy, Ian Rochford"
Family Law,97,HDA3-019,14 June 1989,Sally Brady,"Neil Stewart, Joan Flanagan"
Visiting Rights,98,HDA3-020,21 June 1989,Sally Brady,"Gary Reilly, John Flanagan"
Guess Who's Not Coming to Dinner,99,HDA3-021,28 June 1989,Sally Brady,"Kym Goldsworthy, Ian Rochford"
Kiss and Makeup,100,HDA3-022,05 July 1989,Sally Brady,"Gary Reilly, John Flanagan"
Phantom on the Roof,101,HDA3-023,12 July 1989,Sally Brady,"Gary Reilly, John Flanagan"
Democracy Rules K.O.,102,HDA3-024,19 July 1989,Sally Brady,"Kym Goldsworthy, Ian Rochford"
Never an Idol Moment,103,HDA3-025,26 July 1989,Leigh Spence,"Gary Reilly, John Flanagan"
Ol' Black Thumb Is Back,104,HDA3-026,09 August 1989,Leigh Spence,"Gary Reilly, John Flanagan"
Time Healeys All Wounds,105,HDA3-027,16 August 1989,Leigh Spence,"Gary Reilly, John Flanagan"
The Name Rings a Bell,106,HDA3-028,23 August 1989,Sally Brady,"Gary Reilly, John Flanagan"
Crime and Punishment,107,HDA3-029,30 August 1989,Sally Brady,"Kym Goldsworthy, Ian Rochford"
Stop Thief!,108,HDA3-030,06 September 1989,Sally Brady,"Gary Reilly, John Flanagan"
Say a Little Prayer For Me!,109,HDA3-031,13 September 1989,Sally Brady,"Neil Stewart, Joan Flanagan"
Here's Mud In Your Eye,110,HDA3-032,20 September 1989,Sally Brady,"Gary Reilly, John Flanagan"
In the Name of Art,111,HDA3-033,27 September 1989,Sally Brady,Stephen Quinn
Finders Speakers,112,HDA3-034,04 October 1989,Sally Brady,"Gary Reilly, John Flanagan"
Room to Let,113,HDA3-035,11 October 1989,Sally Brady,"Gary Reilly, John Flanagan"
A Finite Romance,114,HDA3-036,18 October 1989,Sally Brady,"Kym Goldsworthy, Ian Rochford"
The Cluck of the Draw,115,HDA3-037,25 October 1989,Sally Brady,"Gary Reilly, John Flanagan"
Time Out,116,HDA3-038,01 November 1989,Sally Brady,"Hugh Stuckey, John Flanagan"
Colour My World,117,HDA3-039,08 November 1989,Sally Brady,"Gary Reilly, John Flanagan"
Knocked Off,118,HDA3-040,15 November 1989,Kevin Burston,"Kym Goldsworthy, Ian Rochford"
You May Quote Me,119,HDA3-041,31 January 1990,Sally Brady,"Gary Reilly, John Flanagan"
The Fax of Life,120,HDA3-042,07 February 1990,Sally Brady,"Gary Reilly, John Flanagan"
Scratch My Back,121,HDA3-043,14 February 1990,Sally Brady,"Gary Reilly, John Flanagan"
Debbie Does Taurus,122,HDA3-044,21 February 1990,Sally Brady,"Kym Goldsworthy, Ian Rochford"
Type-casting,123,HDA3-045,28 February 1990,Sally Brady,"Gary Reilly, John Flanagan"
Doctor Betty I Presume,124,HDA3-046,07 March 1990,Sally Brady,"Gary Reilly, John Flanagan"
Welcome to Our Lovely Home,125,HDA3-047,14 March 1990,Sally Brady,"Gary Reilly, John Flanagan"
Vive La Difference,126,HDA3-048,21 March 1990,Sally Brady,"Gary Reilly, John Flanagan"
Love Stinks,127,HDA3-049,28 March 1990,Sally Brady,"Kym Goldsworthy, Ian Rochford"
