Name,Activities
Farouk El-Baz,"Geologist, studied geology of the Moon, identified landing locations, trained pilots"
Kurt Debus,"Rocket scientist, supervised construction of launch pads and infrastructure"
Jamye Flowers,Secretary for astronauts
Eleanor Foraker,Tailor who designed space suits
Jack Garman,Computer engineer and technician
Millicent Goldschmidt,Microbiologist who designed aseptic lunar material collection techniques and trained astronauts
Eldon C. Hall,Apollo Guidance Computer hardware designer
Margaret Hamilton,Onboard flight computer software engineer
John Houbolt,Route planner
Gene Shoemaker,Geologist who trained astronauts in field geology
Bill Tindall,Coordinated mission techniques
