District,Representative,Party,Residence,Assumed office
1,David Brock Smith,Republican,Port Orford,2017
2,Gary Leif,Republican,Roseburg,2018
2,Christine Goodwin,Republican,Roseburg,2021
3,Lily Morgan,Republican,Grants Pass,2021
4,Duane Stark,Republican,Grants Pass,2015
5,Pam Marsh,Democratic,Ashland,2017
6,Kim Wallan,Republican,Medford,2019
7,Cedric Ross Hayden,Republican,Fall Creek,2015
8,Paul Holvey,Democratic,Eugene,2004
9,Boomer Wright,Republican,Coos Bay,2021
10,David Gomberg,Democratic,Otis,2013
11,Marty Wilde,Democratic,Eugene,2019
12,John Lively,Democratic,Springfield,2013
13,Nancy Nathanson,Democratic,Eugene,2007
14,Julie Fahey,Democratic,Eugene,2017
15,Shelly Boshart Davis,Republican,Albany,2019
16,Dan Rayfield,Democratic,Corvallis,2015
17,Jami Cate,Republican,Lebanon,2021
18,Rick Lewis,Republican,Silverton,2017
19,Raquel Moore-Green,Republican,Salem,2019
20,Paul Evans,Democratic,Monmouth,2015
21,Brian L. Clem,Democratic,Salem,2007
21,Chris Hoy,Democratic,Salem,2021
22,Teresa Alonso Leon,Democratic,Woodburn,2017
23,Mike Nearman,Republican,Independence,2015
23,Anna Scharf,Republican,Amity,2021
24,Ron Noble,Republican,McMinnville,2017
25,Bill Post,Republican,Keizer,2015
25,Jessica George,Republican,Keizer,2021
26,Courtney Neron Misslin,Democratic,Wilsonville,2019
27,Sheri Schouten,Democratic,Beaverton,2017
28,Wlnsvey Campos,Democratic,Aloha,2021
29,Susan McLain,Democratic,Forest Grove,2015
30,Janeen Sollman,Democratic,Hillsboro,2017
30,Nathan Sosa,Democratic,Hillsboro,2022
31,Brad Witt,Democratic,Clatskanie,2005
32,Suzanne Weber,Republican,Tillamook,2021
33,Maxine Dexter,Democratic,Portland,2020
34,Ken Helm,Democratic,Beaverton,2015
35,Dacia Grayber,Democratic,Tigard,2021
36,Lisa Reynolds,Democratic,Portland,2021
37,Rachel Prusak,Democratic,West Linn,2019
38,Andrea Salinas,Democratic,Lake Oswego,2017
39,Christine Drazan,Republican,Canby,2019
39,James Hieb,Republican,Canby,2022
40,Mark Meek,Democratic,Gladstone,2017
41,Karin Power,Democratic,Milwaukie,2017
42,Rob Nosse,Democratic,Portland,2014
43,Tawna Sanchez,Democratic,Portland,2017
44,Tina Kotek,Democratic,Portland,2007
44,Travis Nelson,Democratic,Portland,2022
45,Barbara Smith Warner,Democratic,Portland,2015
46,Khanh Pham,Democratic,Portland,2021
47,Diego Hernandez,Democratic,Portland,2017
47,Andrea Valderrama,Democratic,Portland,2021
48,Jeff Reardon,Democratic,Happy Valley,2013
49,Zach Hudson,Democratic,Troutdale,2021
50,Ricki Ruiz,Democratic,Gresham,2021
51,Janelle Bynum,Democratic,Happy Valley,2017
52,Anna Williams,Democratic,Hood River,2019
53,Jack Zika,Republican,Redmond,2019
54,Jason Kropf,Democratic,Bend,2021
55,Vikki Breese-Iverson,Republican,Prineville,2019
56,E. Werner Reschke,Republican,Klamath Falls,2017
57,Greg Smith,Republican,Heppner,2001
58,Bobby Levy,Republican,Echo,2021
59,Daniel Bonham,Republican,The Dalles,2017
60,Mark Owens,Republican,Crane,2020
