List,Electoral district,Votes,% nationwide,% of electoral district,Candidates,Members elected,Parties
Hope and Loyalty,South III,197822,10.44,86.33,11.0,9.0,Amal-Hezbollah-SSNP-LDP
Hope and Loyalty,Bekaa III,154358,8.15,81.44,10.0,9.0,Amal-Hezbollah-FPM
Hope and Loyalty,South II,138242,7.3,85.89,7.0,7.0,Amal-Hezbollah
Partnership and Will,Mount Lebanon IV,83389,4.4,46.69,12.0,7.0,PSP-LF-NLP
United for Change,Mount Lebanon IV,42077,2.22,23.56,12.0,3.0,17 October revolution-LCP
National Moderation,North I,41848,2.21,28.45,7.0,4.0,Ex-Future
Akkar First,North I,41761,2.2,28.39,7.0,3.0,FPM-SSNP-Independents
Mountain List,Mount Lebanon IV,41545,2.19,23.26,11.0,3.0,LDP-FPM-AUP-Al-Ahbash
Strong Republic Pulse,North III,39844,2.1,32.84,10.0,3.0,LF
Unity of Beirut,Beirut II,36962,1.95,25.07,8.0,3.0,Hezbollah-Amal-FPM-SSNP-LDP
We were... and staying,Mount Lebanon I,34192,1.81,29.04,8.0,3.0,FPM-Hezbollah
National Accordance,Mount Lebanon III,33962,1.79,40.38,6.0,3.0,Hezbollah-FPM-Amal-LDP
Beirut Change,Beirut II,32823,1.73,22.26,11.0,3.0,17 October revolution-NB
Together towards Change,South III,30384,1.6,13.26,11.0,2.0,17 October revolution-LCP
Nation's Rescue,North II,30006,1.58,21.17,11.0,3.0,Rifi-LF
Sovereignty and Decision,Mount Lebanon III,29801,1.57,35.43,6.0,3.0,LF-PSP-NLP
Popular Will,North II,29277,1.55,20.65,10.0,3.0,DM-Al-Ahbash-Marada
Best Tomorrow,Bekaa II,28920,1.53,44.13,5.0,3.0,Amal-UP-FPM-LASM
Lebanon for Us,North II,28041,1.48,19.78,11.0,2.0,Ex-Future
With You We Can till the End,Mount Lebanon I,27939,1.48,23.73,8.0,2.0,LF-NLP
Zahle the Message,Bekaa I,27872,1.47,30.34,6.0,3.0,Hezbollah-FPM-Tashnag
North Unity,North III,26475,1.4,21.82,8.0,2.0,Marada-SSNP-Tawk
Nation's Shout,Mount Lebanon I,25713,1.36,21.84,8.0,2.0,Frem-Kataeb-National Bloc
Zahle the Sovereignty,Bekaa I,25646,1.35,27.92,7.0,3.0,LF-Pro-Siniora
Building the State,Bekaa III,23308,1.23,12.3,10.0,1.0,LF-Independents
North of Confrontation,North III,22613,1.19,18.64,9.0,2.0,IM-Kataeb-Independents
Metn of Change,Mount Lebanon II,22523,1.19,24.33,7.0,2.0,Kataeb
Metn of Freedom,Mount Lebanon II,21301,1.12,23.01,7.0,2.0,LF-NLP-Yes!Lebanon
We were... and staying for Metn,Mount Lebanon II,20533,1.08,22.18,5.0,2.0,FPM
This is Beirut,Beirut II,20439,1.08,13.86,11.0,2.0,Ex-Future-JI
Beirut Requires a Heart,Beirut II,19421,1.03,13.17,11.0,1.0,NDP
Akkar,North I,19334,1.02,13.14,7.0,0.0,LF-Independents
National Independent Decision,Bekaa II,19054,1.01,29.07,6.0,2.0,PSP-Ex-Future-JI
We Vote for Change,South I,18783,0.99,30.96,5.0,3.0,PNO-Independents
Beirut Confronts,Beirut II,18060,0.95,12.25,10.0,1.0,Pro-Siniora-PSP
We are staying here,North III,17077,0.9,14.07,7.0,2.0,FPM-SSNP
Real Change,North II,16825,0.89,11.87,11.0,1.0,JI-Independents
For the People,North II,16215,0.86,11.44,11.0,1.0,Azm-PSP-Independents
Together Stronger,Mount Lebanon II,15997,0.84,17.28,8.0,2.0,Murr-Tashnag-SSNP
Independent Sovereignists,Bekaa I,15477,0.82,16.85,6.0,1.0,Daher-Independents
The Heart of Independent Lebanon,Mount Lebanon I,14979,0.79,12.72,8.0,1.0,Khazen-Independents
For Beirut,Beirut II,14931,0.79,10.13,9.0,1.0,Al-Ahbash
