Year,Ceremony,Award,Work,Result
2001,The British Soap Awards,Sexiest Female,EastEnders,Nominated
2001,The British Soap Awards,Best Newcomer,EastEnders,Won
2001,National Television Awards,Most Popular Newcomer,EastEnders,Won
2001,Inside Soap Awards,Best Newcomer,EastEnders,Won
2001,TV Quick and TV Choice Awards,Best Newcomer,EastEnders,Won
2002,British Soap Awards,Best Actress,EastEnders,Nominated
2002,British Soap Awards,Best Dramatic Performance,EastEnders,Nominated
2002,British Soap Awards,Hero of the Year,EastEnders,Nominated
2002,British Soap Awards,Sexiest Female,EastEnders,Won
2002,Inside Soap Awards,Best Actress,EastEnders,Nominated
2002,Inside Soap Awards,Sexiest Female,EastEnders,Won
2002,TV Quick and TV Choice Awards,Best Soap Actress,EastEnders,Nominated
2002,National Television Awards,Most Popular Actress,EastEnders,Nominated
2003,British Soap Awards,Best Actress,EastEnders,Nominated
2003,British Soap Awards,Sexiest Female,EastEnders,Won
2003,TV Quick and TV Choice Awards,Best Soap Actress,EastEnders,Won
2003,National Television Awards,Most Popular Actress,EastEnders,Won
2003,Inside Soap Awards,Best Actress,EastEnders,Nominated
2004,British Soap Awards,Best Actress,EastEnders,Nominated
2004,British Soap Awards,Sexiest Female,EastEnders,Won
2004,British Soap Awards,Best On-Screen Partnership,EastEnders,Nominated
2004,National Television Awards,Most Popular Actress,EastEnders,Nominated
2004,Inside Soap Awards,Best Actress,EastEnders,Nominated
2004,Inside Soap Awards,Best Couple,EastEnders,Won
2004,Inside Soap Awards,Sexiest Female,EastEnders,Nominated
2004,TV Quick and TV Choice Awards,Best Soap Actress,EastEnders,Nominated
2005,British Soap Awards,Best Actress,EastEnders,Nominated
2005,British Soap Awards,Sexiest Female,EastEnders,Nominated
2005,National Television Awards,Most Popular Actress,EastEnders,Nominated
2006,British Soap Awards,Best Actress,EastEnders,Nominated
2006,British Soap Awards,Best Exit,EastEnders,Nominated
2011,British Soap Awards,Best Actress,EastEnders,Won
2011,British Soap Awards,Best On-Screen Partnership,EastEnders,Won
2011,All About Soap Bubble Awards,Best Actress,EastEnders,Won
2011,TRIC Awards,TV Soap Personality,EastEnders,Won
2011,TV Quick and TV Choice Awards,Best Soap Actress,EastEnders,Won
2011,Inside Soap Awards,Best Actress,EastEnders,Won
2011,BAFTA Awards,Best Supporting Actress,The Road to Coronation Street,Nominated
2011,TV Times Awards,Favourite Soap Star,EastEnders,Nominated
2012,National Television Awards,Outstanding Serial Drama Performance,EastEnders,Nominated
2013,British Soap Awards,Best Actress,EastEnders,Nominated
