Year,Population on January 1st,Net migration
1946,40125230,25000
1947,40448254,130000
1948,40910569,45000
1949,41313195,35000
1950,41647258,35000
1951,42010088,30000
1952,42300981,20000
1953,42618354,19071
1954,42885138,50872
1955,43227872,120000
1956,43627467,170000
1957,44058683,220000
1958,44563043,140000
1959,45014662,130000
1960,45464797,140000
1961,45903656,180000
1962,46422000,860200
1963,47573406,214599
1964,48059029,185000
1965,48561800,110000
1966,48953792,125000
1967,49373537,92000
1968,49723072,102308
1969,50107735,151574
1970,50528219,179911
1971,51016234,142586
1972,51485953,102314
1973,51915873,106448
1974,52320725,30608
1975,52600000,13626
1976,52798338,57386
1977,53019005,44038
1978,53271566,19361
1979,53481073,34765
1980,53731387,43974
1981,54028630,55710
1982,54335000,60865
1983,54649984,56000
1984,54894854,45000
1985,55157303,38000
1986,55411238,39000
1987,55681780,44000
1988,55966142,57000
1989,56269810,71000
1990,56577000,80000
1991,56840661,90000
1992,57110533,90000
1993,57369161,70000
1994,57565008,50000
1995,57752535,40000
1996,57935959,35000
1997,58116018,40000
1998,58298962,45000
1999,58496613,60000
2000,58858198,70000
2001,59266572,85000
2002,59685899,95000
2003,60101841,100000
2004,60505421,105000
2005,60963264,95000
2006,61399733,115025
2007,61795238,74659
2008,62134866,66930
2009,62465709,44222
2010,62765235,43354
2011,63070344,47426
2012,63375971,90831
2013,63697865,106880
2014,64027958,38699
2015,64300821,53025
2016,64468792,87964
2017,64639133,166654
2018,64844037,211349
2019,65096768,139849
2020,65269154,227847
2021,65505213,193000
2022,65721831,193000
2023,65925961,193000
