Country,Date,Format,Label
Australia,"September 25, 2006",Digital download,UniversalSRC
Austria,"September 25, 2006",Digital download,UniversalSRC
Belgium,"September 25, 2006",Digital download,UniversalSRC
Brazil,"September 25, 2006",Digital download,UniversalSRC
Czech Republic,"September 25, 2006",Digital download,UniversalSRC
Denmark,"September 25, 2006",Digital download,UniversalSRC
Finland,"September 25, 2006",Digital download,UniversalSRC
France,"September 25, 2006",Digital download,UniversalSRC
Germany,"September 25, 2006",Digital download,UniversalSRC
Hungary,"September 25, 2006",Digital download,UniversalSRC
Ireland,"September 25, 2006",Digital download,UniversalSRC
Italy,"September 25, 2006",Digital download,UniversalSRC
Japan,"September 25, 2006",Digital download,UniversalSRC
Netherlands,"September 25, 2006",Digital download,UniversalSRC
Norway,"September 25, 2006",Digital download,UniversalSRC
New Zealand,"September 25, 2006",Digital download,UniversalSRC
Poland,"September 25, 2006",Digital download,UniversalSRC
Slovakia,"September 25, 2006",Digital download,UniversalSRC
Spain,"September 25, 2006",Digital download,UniversalSRC
Switzerland,"September 25, 2006",Digital download,UniversalSRC
United Kingdom,"September 25, 2006",Digital download,UniversalSRC
Australia,"October 9, 2006",Digital download,UniversalSRC
Belgium,"October 9, 2006",Digital download,UniversalSRC
Brazil,"October 9, 2006",Digital download,UniversalSRC
Czech Republic,"October 9, 2006",Digital download,UniversalSRC
Denmark,"October 9, 2006",Digital download,UniversalSRC
Finland,"October 9, 2006",Digital download,UniversalSRC
Germany,"October 9, 2006",Digital download,UniversalSRC
Hungary,"October 9, 2006",Digital download,UniversalSRC
Italy,"October 9, 2006",Digital download,UniversalSRC
Netherlands,"October 9, 2006",Digital download,UniversalSRC
Norway,"October 9, 2006",Digital download,UniversalSRC
New Zealand,"October 9, 2006",Digital download,UniversalSRC
Poland,"October 9, 2006",Digital download,UniversalSRC
Slovakia,"October 9, 2006",Digital download,UniversalSRC
Switzerland,"October 9, 2006",Digital download,UniversalSRC
Australia,"October 9, 2006",2 track single,UniversalSRC
Austria,"October 9, 2006",2 track single,UniversalSRC
Belgium,"October 9, 2006",2 track single,UniversalSRC
Czech Republic,"October 9, 2006",2 track single,UniversalSRC
Denmark,"October 9, 2006",2 track single,UniversalSRC
Finland,"October 9, 2006",2 track single,UniversalSRC
France,"October 9, 2006",2 track single,UniversalSRC
Germany,"October 9, 2006",2 track single,UniversalSRC
Hungary,"October 9, 2006",2 track single,UniversalSRC
Ireland,"October 9, 2006",2 track single,UniversalSRC
Italy,"October 9, 2006",2 track single,UniversalSRC
Japan,"October 9, 2006",2 track single,UniversalSRC
Netherlands,"October 9, 2006",2 track single,UniversalSRC
Norway,"October 9, 2006",2 track single,UniversalSRC
New Zealand,"October 9, 2006",2 track single,UniversalSRC
Poland,"October 9, 2006",2 track single,UniversalSRC
Slovakia,"October 9, 2006",2 track single,UniversalSRC
Switzerland,"October 9, 2006",2 track single,UniversalSRC
Australia,"October 9, 2006",EP,UniversalSRC
Austria,"October 9, 2006",EP,UniversalSRC
Belgium,"October 9, 2006",EP,UniversalSRC
Brazil,"October 9, 2006",EP,UniversalSRC
Czech Republic,"October 9, 2006",EP,UniversalSRC
Denmark,"October 9, 2006",EP,UniversalSRC
Finland,"October 9, 2006",EP,UniversalSRC
France,"October 9, 2006",EP,UniversalSRC
Germany,"October 9, 2006",EP,UniversalSRC
Hungary,"October 9, 2006",EP,UniversalSRC
Ireland,"October 9, 2006",EP,UniversalSRC
Italy,"October 9, 2006",EP,UniversalSRC
Japan,"October 9, 2006",EP,UniversalSRC
Netherlands,"October 9, 2006",EP,UniversalSRC
Norway,"October 9, 2006",EP,UniversalSRC
New Zealand,"October 9, 2006",EP,UniversalSRC
Poland,"October 9, 2006",EP,UniversalSRC
Slovakia,"October 9, 2006",EP,UniversalSRC
Sweden,"October 9, 2006",EP,UniversalSRC
Switzerland,"October 9, 2006",EP,UniversalSRC
United Kingdom,"October 9, 2006",EP,UniversalSRC
Australia,"February 5, 2007",NBA version,UniversalSRC
Austria,"February 5, 2007",NBA version,UniversalSRC
Belgium,"February 5, 2007",NBA version,UniversalSRC
Brazil,"February 5, 2007",NBA version,UniversalSRC
Czech Republic,"February 5, 2007",NBA version,UniversalSRC
Denmark,"February 5, 2007",NBA version,UniversalSRC
Finland,"February 5, 2007",NBA version,UniversalSRC
France,"February 5, 2007",NBA version,UniversalSRC
German,"February 5, 2007",NBA version,UniversalSRC
Hungary,"February 5, 2007",NBA version,UniversalSRC
Italy,"February 5, 2007",NBA version,UniversalSRC
Japan,"February 5, 2007",NBA version,UniversalSRC
Netherlands,"February 5, 2007",NBA version,UniversalSRC
Norway,"February 5, 2007",NBA version,UniversalSRC
New Zealand,"February 5, 2007",NBA version,UniversalSRC
Poland,"February 5, 2007",NBA version,UniversalSRC
Slovakia,"February 5, 2007",NBA version,UniversalSRC
Sweden,"February 5, 2007",NBA version,UniversalSRC
Switzerland,"February 5, 2007",NBA version,UniversalSRC
