Individual,Individual.1,Individual.2,Individual.3
Scoring leader,Jason Myers,Seattle,143
Most field goals made,Justin Tucker,Baltimore,37
Touchdowns,Austin Ekeler,Los Angeles Chargers,18
Rushing yards,Josh Jacobs,Las Vegas,1653
Passing yards,Patrick Mahomes,Kansas City,5250
Passing touchdowns,Patrick Mahomes,Kansas City,41
Interceptions thrown,Davis Mills,Houston,15
Interceptions thrown,Dak Prescott,Dallas,15
Passer rating,Tua Tagovailoa,Miami,105.5
Pass receptions,Justin Jefferson,Minnesota,128
Pass receiving yards,Justin Jefferson,Minnesota,1809
Combined tackles,Foye Oluokun,Jacksonville,184
Interceptions,Minkah Fitzpatrick,Pittsburgh,6
Interceptions,C. J. Gardner-Johnson,Philadelphia,6
Interceptions,Justin Simmons,Denver,6
Interceptions,Tariq Woolen,Seattle,6
Punting,Ryan Stonehouse,Tennessee,"4,779; avg 53.1"
Sacks,Nick Bosa,San Francisco,18.5
