Player,Position,USFL team,NFL team(s)
Christian Sam,LB,New Orleans Breakers,Dallas Cowboys
DeJuan Neal,CB,New Jersey Generals,Washington Commanders
Channing Stribling,CB,Philadelphia Stars,Washington Commanders
Doug Costin,DT,Birmingham Stallions,Pittsburgh Steelers
Jeremiah Pharms,DT,Pittsburgh Maulers,New England Patriots
Isaiah Zuber,WR,Houston Gamblers,Las Vegas Raiders
Isiah Brown,CB,New Orleans Breakers,Las Vegas Raiders
Sal Cannella,TE,New Orleans Breakers,Green Bay Packers
Carlo Kemp,DT,Pittsburgh Maulers,Los Angeles Chargers
Victor Bolden Jr.,WR,Birmingham Stallions,Arizona Cardinals/Denver Broncos
Luis Perez,QB,New Jersey Generals,Los Angeles Rams
Kyle Sloter,QB,New Orleans Breakers,Jacksonville Jaguars
Domenique Davis,DT,Houston Gamblers,Cincinnati Bengals
Tegray Scales,LB,Houston Gamblers,Cincinnati Bengals
Osirus Mitchell,WR,Birmingham Stallions,Green Bay Packers
Rashard Davis,WR,Tampa Bay Bandits,New York Jets
Tino Ellis,CB,Michigan Panthers,Miami Dolphins
Lance Lenoir,WR,Michigan Panthers,Philadelphia Eagles/Los Angeles Rams
Bailey Gaither,WR,Pittsburgh Maulers,Baltimore Ravens/New York Giants
Garrett McGhin,OG,New Jersey Generals,New York Giants
Ishmael Hyman,WR,Michigan Panthers,Green Bay Packers
KaVontae Turpin,WR,New Jersey Generals,Dallas Cowboys
Bug Howard,TE,Philadelphia Stars,Tampa Bay Buccaneers
Darrin Paulo,OT,Tampa Bay Bandits,Detroit Lions
Shakur Brown,CB,Pittsburgh Maulers,Tennessee Titans
Tomasi Laulile,DT,Houston Gamblers,San Francisco 49ers
Alex Akingbulu,OT,Philadelphia Stars,Washington Commanders
Sage Surratt,TE,Birmingham Stallions,Los Angeles Chargers
Derrick Dillon,WR,Tampa Bay Bandits,Cleveland Browns
Maurice Alexander,WR,Philadelphia Stars,Detroit Lions
Terrell Bonds,CB,Pittsburgh Maulers,Tennessee Titans
De'Vante Bausby,CB,New Jersey Generals,Washington Commanders
Darrius Shepherd,WR,New Jersey Generals,Denver Broncos
Tae Hayes,CB,Birmingham Stallions,Carolina Panthers/New England Patriots
Chris Odom,DE,Houston Gamblers,Cleveland Browns
DeMarquis Gates,LB,Birmingham Stallions,Chicago Bears
Quenton Meeks,CB,Tampa Bay Bandits,New Orleans Saints
Devin Gray,WR,Philadelphia Stars,Kansas City Chiefs
Matt Colburn,RB,Philadelphia Stars,Jacksonville Jaguars
Cameron Hunt,OG,Birmingham Stallions,Los Angeles Chargers
T. J. Carter,DE,Michigan Panthers,New Orleans Saints
Jameson Houston,CB,Michigan Panthers,Seattle Seahawks
Micah Abernathy,S,Houston Gamblers,Green Bay Packers/Atlanta Falcons
Dexter Williams,RB,Philadelphia Stars,Green Bay Packers
KJ Costello,QB,Philadelphia Stars,New Orleans Saints
B. J. Emmons,RB,Tampa Bay Bandits,Houston Texans
Stevie Scott,RB,Michigan Panthers,Denver Broncos
Brian Allen,CB,Birmingham Stallions,New Orleans Saints
DeAndre Torrey,RB,Michigan Panthers,Philadelphia Eagles
Ramiz Ahmed,K,Pittsburgh Maulers,Green Bay Packers
Devin Hafford,CB,Pittsburgh Maulers,New England Patriots
Taylor Bertolet,K,New Orleans Breakers,Carolina Panthers/Los Angeles Chargers
Tucker Addington,LS,Houston Gamblers,Dallas Cowboys/New England Patriots
Mitchell Fraboni,LS,Pittsburgh Maulers,Denver Broncos
Hunter Thedford,TE/OL,Pittsburgh Maulers,New England Patriots/Denver Broncos
Case Cookus,QB,Philadelphia Stars,Los Angeles Rams
Brock Miller,P,New Jersey Generals,Los Angeles Rams
