Award ceremony,Year,Category,Nominee / Work,Result
Blue Dragon Series Awards,2023,Best New Actor,Bae In-hyuk,Nominated
Blue Dragon Series Awards,2023,Best New Actress,Han Ji-hyun,Nominated
SBS Drama Awards,2022,Best Supporting Team,Cheer Up,Won
SBS Drama Awards,2022,Best New Actor,Bae In-hyuk,Won
SBS Drama Awards,2022,Best New Actor,Kim Hyun-jin,Won
SBS Drama Awards,2022,Best New Actress,Jang Gyu-ri,Won
SBS Drama Awards,2022,Best New Actress,Lee Eun-saem,Won
SBS Drama Awards,2022,"Top Excellence Award, Actress in a Miniseries Romance/Comedy Drama",Han Ji-hyun,Nominated
SBS Drama Awards,2022,"Excellence Award, Actor in a Miniseries Romance/Comedy Drama",Bae In-hyuk,Nominated
SBS Drama Awards,2022,"Excellence Award, Actress in a Miniseries Romance/Comedy Drama",Jang Gyu-ri,Nominated
SBS Drama Awards,2022,Best Supporting Actor in a Miniseries Romance/Comedy Drama,Yang Dong-geun,Nominated
