Name,Company,In the region of,Material
Amaruq and Meliadine Gold Projects,Agnico-Eagle,Rankin Inlet,Gold
Back River Project,B2Gold,Bathurst Inlet,Gold
Izok Corridor Project,MMG Resources Inc.,Kugluktuk,"Gold, Copper, Silver, Zinc"
Hackett River,Glencore,Kugluktuk,"Copper, Lead, Silver, Zinc"
Chidliak,De Beers Canada,Iqaluit / Pangnirtung,Diamonds
"Committee Bay, Three Bluffs Gold Project",Fury Gold Mines,Naujaat,Gold
Kiggavik,Areva Resources,Baker Lake,Uranium
Roche Bay,Advanced Exploration,Hall Beach,Iron Ore
"Ulu, Lupin","Blue Star Gold, Elgin Mining Ltd.",Contwoyto Lake - connected to Yellowknife with an ice road,Gold
Storm Copper Property,Aston Bay Holdings,Taloyoak,Copper
