Team,Location,Stadium,Capacity
Birmingham City,Birmingham,St Andrew's,29409
Blackburn Rovers,Blackburn,Ewood Park,31367
Bristol City,Bristol,Ashton Gate,26462
Charlton Athletic,London,The Valley,27111
Coventry City,Coventry,Coventry Building Society Arena,32609
Derby County,Derby,Pride Park,32926
Hull City,Kingston upon Hull,MKM Stadium,25586
Ipswich Town,Ipswich,Portman Road,30056
Leicester City,Leicester,King Power Stadium,32259
Middlesbrough,Middlesbrough,Riverside Stadium,34742
Millwall,London,The Den,20146
Norwich City,Norwich,Carrow Road,27359
Oxford United,Oxford,Kassam Stadium,12500
Portsmouth,Portsmouth,Fratton Park,20899
Preston North End,Preston,Deepdale,23408
Queens Park Rangers,London,Loftus Road,18439
Sheffield United,Sheffield,Bramall Lane,32050
Sheffield Wednesday,Sheffield,Hillsborough Stadium,39732
Southampton,Southampton,St Mary's Stadium,32384
Stoke City,Stoke-on-Trent,bet365 Stadium,30089
Swansea City,Swansea,Swansea.com Stadium,21088
Watford,Watford,Vicarage Road,22200
West Bromwich Albion,West Bromwich,The Hawthorns,26850
Wrexham,Wrexham,Racecourse Ground,13341
