Year,Song,Artist,Album,Credits
1994,That Woman's Got Me Drinking,Shane MacGowan and The Popes,The Snake,Guitar
1995,All tracks,P,P,"Guitar, bass"
1995,Fade Away,Oasis,The Help Album,Guitar
1997,Fade In-Out,Oasis,Be Here Now,Guitar
1999,Hollywood Affair,Iggy Pop,Corruption,Featured performer
2000,St. Germain,Vanessa Paradis,Bliss,Co-writer
2000,Bliss,Vanessa Paradis,Bliss,Co-writer
2000,Firmaman,Vanessa Paradis,Bliss,Guitar
2000,Minor Swing,Rachel Portman,Chocolat,Guitar
2000,They're Red Hot,Rachel Portman,Chocolat,Guitar
2000,Caravan,Rachel Portman,Chocolat,Guitar
2003,Sand's Theme,Various artists,Once Upon A Time In Mexico,Composer
2007,No Place Like London,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,My Friends,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,Pirelli's Miracle Elixir,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,Pretty Women,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,Epiphany,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,A Little Priest,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,Johanna,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,By the Sea,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2007,Final Scene,Various artists,Sweeney Todd: The Demon Barber of Fleet Street: The Motion Picture Soundtrack,Performer
2008,Too Close to the Sun,Glenn Tilbrook and The Fluffers,Pandemonium Ensues,Guitar
2010,I Put a Spell on You,Shane MacGowan and Friends,,Guitar
2010,Unloveable,Babybird,Ex-Maniac,Guitar
2011,Kemp in the Village,Christopher Young,The Rum Diary,"Performer, co-writer"
2011,The Mermaid Song,Christopher Young,The Rum Diary,Piano
2011,Ballade de Melody Nelson,Lulu Gainsbourg,From Gainsbourg to Lulu,"Co-lead vocals, guitar, bass, drums"
2011,The Jesus Stag Night Club,Babybird,The Pleasures of Self Destruction,Guitar
2012,Freedom Fighter,Aerosmith,Music from Another Dimension!,Background vocals
2012,You're So Vain,Marilyn Manson,Born Villain,"Guitar, drums, production"
2012,Street Runners,Jup & Rob Jackson,Collective Bargaining,Featured performer
2012,Little Lion Man,Various artists,West of Memphis: Voices of Justice,Performer
2012,Damien Echols Death Row Letter Year 16,Various artists,West of Memphis: Voices of Justice,Performer
2013,The Mermaid,Various artists,"Son of Rogues Gallery: Pirate Ballads, Sea Songs & Chanteys","Guitar, drums"
2013,The Brooklyn Shuffle,Steve Hunter,The Manhattan Blues Project,Guitar
2013,New Year,Vanessa Paradis,Love Songs,Co-writer
2013,Poor Paddy on the Railway,Various artists,The Lone Ranger: Wanted,Guitar
2013,Sweet Betsy from Pike,Various artists,The Lone Ranger: Wanted,Arrangement
2014,Kansas City,The New Basement Tapes,Lost on the River: The New Basement Tapes,Guitar
2014,"Hello, Little Girl",Various artists,Into the Woods,Performer
2015,All tracks,Hollywood Vampires,Hollywood Vampires,"Guitar, keyboards, backing vocals, co-writer, sound design"
2015,21+,Butch Walker,Afraid of Ghosts,Guitar
2019,All tracks,Hollywood Vampires,Rise,"Guitar, keyboards, backing vocals, co-writer, sound design"
2022,All tracks,Jeff Beck & Johnny Depp,18,"Vocals, acoustic guitar, rhythm guitar, bass, drums, backing vocals, co-writer"
