Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,Maitland Pickers,2,4,6,8,10,10,12,14,16,18,20,22,24,26,28,30,32,34
2,South Newcastle Lions,0,2,2,2,4,6,8,10,12,14,16,18,20,22,24,26,26,28
3,Cessnock Goannas,2,4,6,8,10,12,14,16,16,16,17,19,19,21,21,23,25,27
4,Wyong Roos,2,4,6,8,10,10,12,12,14,16,16,18,20,22,24,24,24,26
5,The Entrance Tigers,0,0,2,4,6,8,10,12,12,12,14,16,16,18,20,22,24,24
6,Western Suburbs Rosellas,2,4,4,4,6,6,6,6,7,9,11,11,13,15,15,17,19,21
7,Macquarie Scorpions,0,2,4,6,6,8,8,10,12,12,12,12,12,12,14,14,16,16
8,Lakes United Seagulls,2,2,2,4,4,6,6,6,6,8,10,10,10,10,12,14,14,16
9,Central Newcastle Butcher Boys,2,2,4,4,4,4,6,6,7,9,10,12,14,14,14,14,16,16
10,Northern Hawks,0,0,0,0,0,2,2,4,6,6,6,6,8,8,8,8,8,8
11,Kurri Kurri Bulldogs,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,4,4,4
