Recipient,Year,Club,Goals
Eddy James,1897,Geelong,22
Jack Leith,1897,Melbourne,22
Archie Smith,1898,Collingwood,31
Eddy James,1899,Geelong,31
Teddy Lockwood,1900,Geelong,24
Albert Thurgood,1900,Essendon,24
Fred Hiskins,1901,Essendon,34
Charlie Baker,1902,St Kilda,30
Teddy Lockwood,1903,Collingwood,33
Vince Coutie,1904,Melbourne,39
Charlie Pannam,1905,Collingwood,38
Mick Grace,1906,Carlton,45
Dick Lee,1907,Collingwood,45
Dick Lee,1908,Collingwood,50
Dick Lee,1909,Collingwood,55
Percy Martini,1910,Geelong,51
Harry Brereton,1911,Melbourne,46
Harry Brereton,1912,Melbourne,56
Roy Park,1913,University,53
Dick Lee,1914,Collingwood,57
Jimmy Freake,1915,Fitzroy,65
Dick Lee,1916,Collingwood,46
Dick Lee,1917,Collingwood,50
Ern Cowley,1918,Carlton,35
Dick Lee,1919,Collingwood,47
George Bayliss,1920,Richmond,62
Cliff Rankin,1921,Geelong,61
Horrie Clover,1922,Carlton,54
Greg Stockdale,1923,Essendon,64
Jack Moriarty,1924,Fitzroy,75
Lloyd Hagger,1925,Geelong,70
Gordon Coventry,1926,Collingwood,78
Gordon Coventry,1927,Collingwood,88
Gordon Coventry,1928,Collingwood,78
Gordon Coventry,1929,Collingwood,118
Gordon Coventry,1930,Collingwood,105
Harry Vallence,1931,Carlton,72
George Moloney,1932,Geelong,109
Gordon Coventry,1933,Collingwood,108
Bob Pratt,1934,South Melbourne,138
Bob Pratt,1935,South Melbourne,97
Bill Mohr,1936,St Kilda,101
Dick Harris,1937,Richmond,64
Ron Todd,1938,Collingwood,102
Ron Todd,1939,Collingwood,98
Jack Titus,1940,Richmond,92
Sel Murray,1941,North Melbourne,88
Lindsay White,1942,South Melbourne,67
Fred Fanning,1943,Melbourne,62
Fred Fanning,1944,Melbourne,87
Fred Fanning,1945,Melbourne,67
Des Fothergill,1946,Collingwood,63
Fred Fanning,1947,Melbourne,97
Lindsay White,1948,Geelong,86
John Coleman,1949,Essendon,85
John Coleman,1950,Essendon,112
John Coleman,1951,Essendon,75
John Coleman,1952,Essendon,103
John Coleman,1953,Essendon,96
Jack Collins,1954,Footscray,73
Noel Rayson,1955,Geelong,77
Bill Young,1956,St Kilda,56
Jack Collins,1957,Footscray,74
Ian Brewer,1958,Collingwood,67
Ron Evans,1959,Essendon,69
Ron Evans,1960,Essendon,67
Tom Carroll,1961,Carlton,54
Doug Wade,1962,Geelong,62
John Peck,1963,Hawthorn,69
John Peck,1964,Hawthorn,68
John Peck,1965,Hawthorn,56
Ted Fordham,1966,Essendon,73
Doug Wade,1967,Geelong,79
Peter Hudson,1968,Hawthorn,125
Doug Wade,1969,Geelong,122
Peter Hudson,1970,Hawthorn,146
Peter Hudson,1971,Hawthorn,140
Peter McKenna,1972,Collingwood,130
Peter McKenna,1973,Collingwood,84
Doug Wade,1974,North Melbourne,91
Leigh Matthews,1975,Hawthorn,67
Larry Donohue,1976,Geelong,99
Peter Hudson,1977,Hawthorn,105
Kelvin Templeton,1978,Footscray,118
Kelvin Templeton,1979,Footscray,91
Michael Roach,1980,Richmond,107
Michael Roach,1981,Richmond,86
Malcolm Blight,1982,North Melbourne,94
Bernie Quinlan,1983,Fitzroy,106
Bernie Quinlan,1984,Fitzroy,102
Simon Beasley,1985,Footscray,93
Brian Taylor,1986,Collingwood,100
Tony Lockett,1987,St Kilda,117
Jason Dunstall,1988,Hawthorn,124
Jason Dunstall,1989,Hawthorn,128
John Longmire,1990,North Melbourne,98
Tony Lockett,1991,St Kilda,118
Jason Dunstall,1992,Hawthorn,139
Gary Ablett Sr.,1993,Geelong,124
Gary Ablett Sr.,1994,Geelong,113
Gary Ablett Sr.,1995,Geelong,118
Tony Lockett,1996,Sydney,114
Tony Modra,1997,Adelaide,81
Tony Lockett,1998,Sydney,107
Scott Cummings,1999,West Coast,88
Matthew Lloyd,2000,Essendon,94
Matthew Lloyd,2001,Essendon,96
David Neitz,2002,Melbourne,75
Matthew Lloyd,2003,Essendon,87
Fraser Gehrig,2004,St Kilda,90
Fraser Gehrig,2005,St Kilda,74
Brendan Fevola,2006,Carlton,84
Jonathan Brown,2007,Brisbane Lions,77
Lance Franklin,2008,Hawthorn,102
Brendan Fevola,2009,Carlton,86
Jack Riewoldt,2010,Richmond,78
Lance Franklin,2011,Hawthorn,71
Jack Riewoldt,2012,Richmond,65
Jarryd Roughead,2013,Hawthorn,68
Lance Franklin,2014,Sydney,67
Josh Kennedy,2015,West Coast,75
Josh Kennedy,2016,West Coast,80
Lance Franklin,2017,Sydney,69
Jack Riewoldt,2018,Richmond,65
Jeremy Cameron,2019,Greater Western Sydney,67
Tom Hawkins,2020,Geelong,42
Harry McKay,2021,Carlton,58
Charlie Curnow,2022,Carlton,64
Charlie Curnow,2023,Carlton,78
Jesse Hogan,2024,Greater Western Sydney,69
