Year,Nominee / work,Award,Result
1990,We're All in the Same Gang,Best Rap Performance by a Duo or Group,Nominated
1994,Nuthin' but a 'G' Thang,Best Rap Performance by a Duo or Group,Nominated
1994,Let Me Ride,Best Rap Solo Performance,Won
1996,Keep Their Heads Ringin',Best Rap Solo Performance,Nominated
1997,California Love,Best Rap Performance by a Duo or Group,Nominated
1998,No Diggity,Best R&B Song,Nominated
2000,Still D.R.E.,Best Rap Performance by a Duo or Group,Nominated
2000,Guilty Conscience,Best Rap Performance by a Duo or Group,Nominated
2001,Forgot About Dre,Best Rap Performance by a Duo or Group,Won
2001,The Next Episode,Best Rap Performance by a Duo or Group,Nominated
2001,The Marshall Mathers LP,Album of the Year,Nominated
2001,The Marshall Mathers LP,Best Rap Album,Won
2001,2001,Best Rap Album,Nominated
2001,Himself,"Producer of the Year, Non-Classical",Won
2002,Himself,"Producer of the Year, Non-Classical",Nominated
2003,Himself,"Producer of the Year, Non-Classical",Nominated
2003,Knoc,"Best Music Video, Short Form",Nominated
2003,The Eminem Show,Album of the Year,Nominated
2004,In da Club,Best Rap Song,Nominated
2006,Love. Angel. Music. Baby.,Album of the Year,Nominated
2006,Encore,Best Rap Performance by a Duo or Group,Nominated
2010,Crack a Bottle,Best Rap Performance by a Duo or Group,Won
2010,Relapse,Best Rap Album,Won
2011,Recovery,Album of the Year,Nominated
2012,I Need a Doctor,Best Rap/Sung Collaboration,Nominated
2012,I Need a Doctor,Best Rap Song,Nominated
2014,"good kid, m.A.A.d city",Album of the Year,Nominated
2016,Compton,Best Rap Album,Nominated
2017,Straight Outta Compton,Best Compilation Soundtrack for Visual Media,Nominated
2020,Ventura,Best R&B Album,Won
2024,Himself,Grammy Lifetime Achievement Award,Won
