Year,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1970,592.0,11683,3913,7770,19.7,6.6,13.1,
1975,634.0,12315,4717,7598,19.4,7.4,12.0,
1980,680.0,14098,5457,8641,20.7,8.0,12.7,
1985,725.0,15941,5854,10087,22.0,8.1,13.9,
1990,772.0,15412,6573,8839,20.0,8.5,11.5,2.45
1991,788.0,14952,6995,7957,19.0,8.9,10.1,2.35
1992,799.0,13728,7093,6635,17.2,8.9,8.3,2.16
1993,807.0,11781,7864,3917,14.6,9.7,4.9,1.86
1994,816.0,11407,8052,3355,14.0,9.9,4.1,1.79
1995,828.0,10844,8236,2608,13.1,9.9,3.2,1.67
1996,840.0,10293,8199,2094,12.2,9.8,2.5,1.56
1997,853.0,10016,7985,2031,11.7,9.4,2.4,1.47
1998,866.0,9997,8201,1796,11.5,9.5,2.1,1.44
1999,875.0,9221,8292,929,10.5,9.5,1.1,1.3
2000,883.0,9207,8792,415,10.4,10.0,0.5,1.26
2001,891.0,8892,8778,114,10.0,9.9,0.1,1.19
2002,897.0,9119,8954,165,10.2,10.0,0.2,1.2
2003,896.0,9294,9202,92,10.4,10.3,0.1,1.2
2004,889.0,9414,8695,719,10.6,9.8,0.8,1.22
2005,882.0,8991,9034,-43,10.2,10.2,-0.0,1.13
2006,875.0,9308,8764,544,10.6,10.0,0.6,1.16
2007,870.0,11397,8441,2956,13.1,9.7,3.4,1.41
2008,866.0,12052,8095,3957,13.9,9.3,4.6,1.49
2009,863.0,12143,8406,3737,14.1,9.7,4.3,1.62
2010,860.0,12576,8080,4496,14.6,9.4,5.2,1.66
2011,860.0,12848,8136,4712,14.9,9.4,5.5,1.7
2012,859.0,13786,7709,6077,16.0,9.0,7.0,1.83
2013,859.0,13365,7712,5653,15.6,9.0,6.6,1.8
2014,860.0,13397,7571,5826,15.6,8.8,6.8,1.83
2015,861.0,12627,7582,5045,14.6,8.8,5.8,1.75
2016,863.0,12191,7386,4805,14.1,8.5,5.6,1.72
2017,865.0,11092,7391,3701,12.8,8.5,4.3,1.61
2018,865.0,10881,7044,3837,12.5,8.1,4.4,1.61
2019,866.0,9973,7142,2831,11.5,8.2,3.3,1.51
2020,,10604,8624,1980,12.2,9.9,2.3,1.64
2021,,10462,9436,1026,12.0,10.8,1.2,1.67
2022,,10049,8010,2039,11.5,9.2,2.3,1.51
2023,,9941,6827,3114,11.0,7.5,3.5,1.53
2024,,10180,6963,3217,11.2,7.7,3.5,1.61
