Year,Winner,Title (at the time),Organizing Body,Location
2008,Middlebury College,World Cup 1,IQA,"Middlebury, VT"
2009,Middlebury College,World Cup 2,IQA,"Middlebury, VT"
2010,Middlebury College,World Cup 3,IQA,"Middlebury, VT"
2011,Middlebury College,World Cup 4,IQA,"New York, NY"
2012,Middlebury College,World Cup 5,IQA,"New York, NY"
2013,University of Texas,World Cup 6,IQA,"Kissimmee, FL"
2014,University of Texas,World Cup 7,IQA,"North Myrtle Beach, SC"
2015,University of Texas,World Cup 8,USQ,"Rock Hill, SC"
2016,Quidditch Club Boston,US Quidditch Cup 9,USQ,"Columbia, SC"
2017,Texas Cavalry,US Quidditch Cup 10,USQ,"Kissimmee, FL"
2018,University of Rochester  Texas Cavalry,US Quidditch Cup 11,USQ,"Round Rock, TX"
2019,University of Texas  Texas Cavalry,US Quidditch Cup 12,USQ,"Round Rock, TX"
2022,University of Texas  Texas Hill Country Heat,US Quidditch Cup 2022,USQ,"Salt Lake City, UT"
2023,University of Texas at San Antonio  The Warriors,US Quadball Cup 2023,USQ,"Conshohocken, PA"
2024,Harvard Horntails  Boom Train,US Quadball Cup 2024,USQ,"Round Rock, TX"
