Ranking,NOC,Athletes
1,United States,224
2,Canada,215
3,ROC,212
4,China,176
5,Switzerland,167
6,Germany,149
7,Japan,124
8,Italy,118
9,Sweden,116
10,Czech Republic,113
11,Austria,106
12,Finland,95
13,France,86
14,Norway,84
15,South Korea,64
16,Denmark,62
17,Latvia,57
17,Poland,57
19,Great Britain,50
20,Slovakia,50
21,Ukraine,45
22,Australia,44
22,Slovenia,44
24,Netherlands,41
25,Kazakhstan,34
26,Belarus,29
27,Estonia,26
28,Romania,21
29,Belgium,19
30,Bulgaria,16
31,New Zealand,15
32,Hungary,14
32,Spain,14
34,Lithuania,13
35,Croatia,11
36,Brazil,10
37,Georgia,9
38,Turkey,7
38,Jamaica,7
40,Argentina,6
40,Armenia,6
40,Bosnia and Herzegovina,6
40,Ireland,6
40,Israel,6
45,Andorra,5
45,Greece,5
45,Iceland,5
45,Moldova,5
49,Chile,4
49,Mexico,4
49,Chinese Taipei,4
49,Thailand,4
53,Colombia,3
53,Hong Kong,3
53,Iran,3
53,Lebanon,3
53,Monaco,3
53,Montenegro,3
53,North Macedonia,3
53,Portugal,3
61,Azerbaijan,2
61,Bolivia,2
61,Kosovo,2
61,Liechtenstein,2
61,Luxembourg,2
61,Madagascar,2
61,Malaysia,2
61,Mongolia,2
61,Puerto Rico,2
61,San Marino,2
61,Serbia,2
61,Trinidad and Tobago,2
73,Albania,1
73,American Samoa,1
73,Cyprus,1
73,Ecuador,1
73,Eritrea,1
73,Ghana,1
73,Haiti,1
73,India,1
73,Kyrgyzstan,1
73,Malta,1
73,Morocco,1
73,Nigeria,1
73,Pakistan,1
73,Peru,1
73,Philippines,1
73,Saudi Arabia,1
73,Timor-Leste,1
73,Uzbekistan,1
73,Virgin Islands,1
