Title,North America,Europe,Japan,Australia,Developer,Publisher
Azumanga Daioh 1,Unreleased,Unreleased,"December 21, 2015",Unreleased,King Records,King Records
Bijin Tokei Portable,Unreleased,Unreleased,"August 10, 2010",Unreleased,HuneX,HuneX
Chotto Shot,Unreleased,Unreleased,"November 2, 2006",Unreleased,SCEI,SCEI
The Cryptics,"June 12, 2008","June 12, 2008",Unreleased,Unreleased,D2C Games,D2C Games
The Legend of Heroes: Trails in the Sky Material Collection Portable,Unreleased,Unreleased,"December 20, 2007",Unreleased,Nihon Falcom,Nihon Falcom
Final Fantasy VII: Advent Children,"April 25, 2006","April 24, 2006","September 14, 2005",Unreleased,Square Enix,Square Enix
GO! Edit,Unreleased,2007,Unreleased,Unreleased,NavNGo,SCEE
Go!Cam,Unreleased,"May 15, 2007",Unreleased,Unreleased,NavNGo,SCEE
Go!Explore,Unreleased,"July 25, 2008",Unreleased,Unreleased,NavNGo,SCEE
Go!Messenger,Unreleased,"February 29, 2008",Unreleased,Unreleased,NavNGo,SCEE
Hand Dic,Unreleased,Unreleased,"December 1, 2005",Unreleased,SCEA,SCEA Korea
Just English,Unreleased,Unreleased,"June 16, 2006",Unreleased,Winglish,Winglish
Mahou Shoujo Lyrical Nanoha A's Portable: DL Magazine - Digital Nanoha,Unreleased,Unreleased,"February 16, 2010",Unreleased,Bandai Namco Games,Bandai Namco Games
Maplus Portable Navi 3: 2011 Nendohan,Unreleased,Unreleased,"October 13, 2011",Unreleased,Edia Co.,Edia Co.
Maplus: Portable Navi,Unreleased,Unreleased,"December 14, 2006",Unreleased,Edia Co.,Edia Co.
Maplus: Portable Navi 2,Unreleased,Unreleased,"December 20, 2007",Unreleased,Edia Co.,Edia Co.
Maplus: Portable Navi 3,Unreleased,Unreleased,"October 19, 2009",Unreleased,Edia Co.,Edia Co.
Maru Goukaku + NextRev: Kihon Jouhou Gijutsusha Shiken Portable,Unreleased,Unreleased,"May 30, 2013",Unreleased,Media5,Media5
Maru Goukaku + NextRev: Sharoushi Shiken Portable,Unreleased,Unreleased,"May 30, 2013",Unreleased,Media5,Media5
Maru Goukaku + NextRev: Takken Shikken Portable,Unreleased,Unreleased,"May 30, 2013",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Care Manager Shiken Portable,Unreleased,Unreleased,"May 31, 2012",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Chuushoukigyou Shindanshi Shiken 1 Portable,Unreleased,Unreleased,"January 26, 2012",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Chuushoukigyou Shindanshi Shiken 2 Portable,Unreleased,Unreleased,"January 26, 2012",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! FP Financial Planning Ginou Kentei Shiken 2-Kyuu Portable,Unreleased,Unreleased,"November 23, 2011",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! FP Financial Planning Ginou Kentei Shiken 3-Kyuu Portable,Unreleased,Unreleased,"November 23, 2011",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! IT Passport Shiken Portable,Unreleased,Unreleased,"September 1, 2011",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Kihon Jouhou Gijutsusha Shiken Portable,Unreleased,Unreleased,"September 8, 2011",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Ouyou Jouhou Gijutsusha Shiken Portable,Unreleased,Unreleased,"September 8, 2011",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Sharoushi Shiken Portable,Unreleased,Unreleased,"December 22, 2011",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Shouken Gaimuin Shiken Portable,Unreleased,Unreleased,"May 17, 2012",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! Takken Shiken Portable,Unreleased,Unreleased,"February 23, 2012",Unreleased,Media5,Media5
Maru Goukaku: Shikaku Dasshu! TOEIC Test Portable,Unreleased,Unreleased,"March 22, 2012",Unreleased,Media5,Media5
Metal Gear Solid: Digital Graphic Novel,"June 13, 2006","September 22, 2006","September 21, 2006",May 2008,Kojima Productions,Konami
Minna de Dokusho: Genji Monogatari + Chottodake Bungaku,Unreleased,Unreleased,"November 5, 2009",Unreleased,Dorart,Dorart
Minna de Dokusho: Keatai Shousetsu Desu,Unreleased,Unreleased,"October 23, 2008",Unreleased,Dorart,Dorart
Minna de Dokusho: Meisaku & Suiri & Kaidan & Bungaku,Unreleased,Unreleased,"July 3, 2008",Unreleased,Dorart,Dorart
Minna de Dokusho: Torimonochou,Unreleased,Unreleased,"November 19, 2009",Unreleased,Dorart,Dorart
Minna no Chizu,Unreleased,Unreleased,"April 20, 2006",Unreleased,Zenrin,Zenrin
Minna no Chizu 2,Unreleased,Unreleased,"April 26, 2007",Unreleased,Zenrin,Zenrin
Minna no Chizu 2 Chiiki-Han: Chuunichimoto-Han,Unreleased,Unreleased,"August 9, 2007",Unreleased,Zenrin,Zenrin
Minna no Chizu 2 Chiiki-Han: Higashinichimoto-Han,Unreleased,Unreleased,"August 9, 2007",Unreleased,Zenrin,Zenrin
Minna no Chizu 2 Chiiki-Han: Nishinippon-Hen,Unreleased,Unreleased,"August 9, 2007",Unreleased,Zenrin,Zenrin
Minna no Navi,Unreleased,Unreleased,"November 19, 2009",Unreleased,Zenrin,Zenrin
Minna no Shiatsu: Itami mo Tsukare mo Sukirii!,Unreleased,Unreleased,"March 18, 2010",Unreleased,Dorart,Dorart
Minna to Chizu 3,Unreleased,Unreleased,"April 24, 2008",Unreleased,Zenrin,Zenrin
MyStylist,Unreleased,Unreleased,"February 28, 2008",Unreleased,Crispy's,SCEI
Otsuge Uranai nan desu.,Unreleased,Unreleased,"December 18, 2008",Unreleased,Dorart,Dorart
Passport to Amsterdam,Unreleased,"September 22, 2006",Unreleased,Unreleased,SCEE London Studio,SCEE
Passport to Barcelona,Unreleased,"September 22, 2006",Unreleased,Unreleased,SCEE London Studio,SCEE
Passport to London,Unreleased,"September 22, 2006",Unreleased,Unreleased,SCEE London Studio,SCEE
Passport to Paris,Unreleased,"September 22, 2006",Unreleased,Unreleased,SCEE London Studio,SCEE
Passport to Prague,Unreleased,"September 22, 2006",Unreleased,Unreleased,SCEE London Studio,SCEE
Passport to Rome,Unreleased,"September 22, 2006",Unreleased,Unreleased,SCEE London Studio,SCEE
Planetarium Creator Ohira Takayuki Kanshuu: Home Star Portable,Unreleased,Unreleased,"October 19, 2006",Unreleased,Sega,Sega
Pro Atlas Travel Guide,Unreleased,Unreleased,"August 9, 2007",Unreleased,Edia Co.,Edia Co.
PSP Web Browser,2005,2005,2005,2005,SCEA,SCEA
The Silent Hill Experience,"June 5, 2006","June 6, 2006",Unreleased,Unreleased,Konami,Konami
Talkman,Unreleased,Unreleased,"November 17, 2005",Unreleased,SCEI,SCEI
Talkman Euro,Unreleased,Unreleased,"June 16, 2006",Unreleased,SCEI,SCEI
TalkMan Travel,Unreleased,Unreleased,"December 13, 2007",Unreleased,SCEI,SCEI
TalkMan Travel: Paris,Unreleased,Unreleased,"August 7, 2008",Unreleased,SCEI,SCEI
TalkMan Travel: Rome,Unreleased,Unreleased,"August 7, 2008",Unreleased,SCEI,SCEI
TalkMan Travel: Tokyo,Unreleased,Unreleased,"August 7, 2008",Unreleased,SCEI,SCEIopen
