Year,No.,Name,National Voters,States,QLD
1906,1,Senate Elections,82.65%,6:0,76.84%
1910,2,State Debts,54.95%,5:1,33.34%
1910,3,Surplus Revenue,49.04%,3:3,54.58%
1911,4,Trade and Commerce,39.42%,1:5,43.75%
1911,5,Monopolies,39.89%,1:5,44.26%
1913,6,Trade and Commerce,49.38%,3:3,54.34%
1913,7,Corporations,49.33%,3:3,54.31%
1913,8,Industrial Matters,49.33%,3:3,54.36%
1913,9,Trusts,49.78%,3:3,54.78%
1913,10,Monopolies,49.33%,3:3,54.17%
1913,11,Railway Disputes,49.13%,3:3,54.19%
1919,12,Legislative Powers,49.65%,3:3,57.35%
1919,13,Monopolies,48.64%,3:3,56.92%
1926,14,Industry and Commerce,43.50%,2:4,52.10%
1926,15,Essential Services,42.80%,2:4,50.56%
1928,16,State Debts,74.30%,6:0,88.60%
1937,17,Aviation,53.56%,2:4,61.87%
1937,18,Marketing,36.26%,0:6,38.78%
1944,19,Post-War Reconstruction and Democratic Rights,45.99%,2:4,36.52%
1946,20,Social Services,54.39%,6:0,51.26%
1946,21,Marketing,50.57%,3:3,45.74%
1946,22,Industrial Employment,50.30%,3:3,43.42%
1948,23,Rents and Prices,40.66%,0:6,30.80%
1951,24,Communists and Communism,49.44%,3:3,55.76%
1967,25,Parliament,40.25%,1:5,44.13%
1967,26,Aboriginals,90.77%,6:0,89.21%
1973,27,Prices,43.81%,0:6,38.47%
1973,28,Incomes,34.42%,0:6,31.70%
1974,29,Simultaneous Elections,48.30%,1:5,44.32%
1974,30,Mode of Altering the Constitution,47.99%,1:5,44.29%
1974,31,Democratic Elections,47.20%,1:5,43.70%
1974,32,Local Government Bodies,46.85%,1:5,43.68%
1977,33,Simultaneous Elections,62.22%,3:3,47.51%
1977,34,Senate Casual Vacancies,73.32%,6:0,58.86%
1977,35,Referendums,77.72%,6:0,59.58%
1977,36,Retirement of Judges,80.10%,6:0,65.24%
1984,37,Terms of Senators,50.64%,2:4,45.65%
1984,38,Interchange of Powers,47.06%,0:6,41.69%
1988,39,Parliamentary Terms,32.92%,0:6,35.15%
1988,40,Fair Elections,37.60%,0:6,44.83%
1988,41,Local Government,33.62%,0:6,38.31%
1988,42,Rights and Freedoms,30.79%,0:6,32.90%
1999,43,Establishment of Republic,45.13%,0:6,37.44%
1999,44,Preamble,39.34%,0:6,32.81%
2023,45,Aboriginal and Torres Strait Islander Voice,39.94%,0:6,31.79%
