Year,Author,Title,Result
2000,Thea Astley,Drylands,Winner
2000,Kim Scott,Benang,Winner
2000,Lily Brett,Too Many Men,Shortlist
2000,Dorothy Porter,What a Piece of Work,Shortlist
2000,Amy Witting,Isobel on the Way to the Corner Shop,Shortlist
2001,Frank Moorhouse,Dark Palace,Winner
2001,Peter Carey,True History of the Kelly Gang,Shortlist
2001,Arabella Edge,The Company,Shortlist
2001,Rodney Hall,The Day We Had Hitler Home,Shortlist
2001,Matthew Kneale,English Passengers,Shortlist
2001,Alex Miller,Conditions of Faith,Shortlist
2001,Hannie Rayson,Life after George,Shortlist
2002,Tim Winton,Dirt Music,Winner
2002,Steven Carroll,The Art of the Engine Driver,Shortlist
2002,Richard Flanagan,Gould's Book of Fish,Shortlist
2002,Joan London,Gilgamesh,Shortlist
2002,John Scott,The Architect,Shortlist
2003,Alex Miller,Journey to the Stone Country,Winner
2003,Andrea Goldsmith,The Prosperous Thief,Shortlist
2003,Sonya Hartnett,Of a Boy,Shortlist
2003,Kate Jennings,Moral Hazard,Shortlist
2003,Thomas Keneally,An Angel in Australia,Shortlist
2003,Dorothy Porter,Wild Surmise,Shortlist
2004,Shirley Hazzard,The Great Fire,Winner
2004,Peter Carey,My Life as a Fake,Shortlist
2004,J. M. Coetzee,Elizabeth Costello,Shortlist
2004,Peter Goldsworthy,Three Dog Night,Shortlist
2004,Annamarie Jagose,Slow Water,Shortlist
2004,Elliot Perlman,Seven Types of Ambiguity,Shortlist
2005,Andrew McGahan,The White Earth,Winner
2005,Sarah Armstrong,Salt Rain,Shortlist
2005,Steven Carroll,The Gift of Speed,Shortlist
2005,Gail Jones,Sixty Lights,Shortlist
2005,Charlotte Wood,The Submerged Cathedral,Shortlist
2006,Roger McDonald,The Ballad of Desmond Kale,Winner
2006,Carrie Tiffany,Everyman's Rules for Scientific Living,Shortlist
2006,Brian Castro,The Garden Book,Shortlist
2006,Kate Grenville,The Secret River,Shortlist
2006,Brenda Walker,The Wing of Night,Shortlist
2007,Alexis Wright,Carpentaria,Winner
2007,Peter Carey,Theft: A Love Story,Shortlist
2007,Gail Jones,Dreams of Speaking,Shortlist
2007,Deborah Robertson,Careless,Shortlist
2008,Steven Carroll,The Time We Have Taken,Winner
2008,David Brooks,The Fern Tattoo,Shortlist
2008,Rodney Hall,Love Without Hope,Shortlist
2008,Gail Jones,Sorry,Shortlist
2008,Alex Miller,Landscape of Farewell,Shortlist
2009,Tim Winton,Breath,Winner
2009,Louis Nowra,Ice,Shortlist
2009,Murray Bail,The Pages,Shortlist
2009,Richard Flanagan,Wanting,Shortlist
2009,Christos Tsiolkas,The Slap,Shortlist
