Date,Show,Channel,Debut,Status
January 06,I Love New York,VH1,2007,Cancelled
January 07,Higglytown Heroes,Playhouse Disney,2004,Cancelled
January 15,SeeMore's Playhouse,PBS Kids,2006,Cancelled
January 18,Game Head,Cartoon Network,2005,Cancelled
January 21,Codename: Kids Next Door,Cartoon Network,2002,Cancelled
January 23,The Land Before Time,Cartoon Network,2007,Cancelled
January 23,Power of 10,CBS,2007,Cancelled
January 24,Big Shots,ABC,2007,Cancelled
January 30,Crowned: The Mother of All Pageants,The CW,2007,Cancelled
February 01,Star Jones,TruTV,2007,Cancelled
February 03,Life Is Wild,Animal Planet,2007,Cancelled
February 04,Animal Precinct,Animal Planet,2001,Cancelled
February 08,Flash Gordon,Sci-Fi,2007,Cancelled
February 11,Notes from the Underbelly,ABC,2007,Cancelled
February 11,Girlfriends,The CW,2000,Cancelled
February 15,Las Vegas,NBC,2003,Cancelled
February 20,Cashmere Mafia,ABC,2008,Cancelled
February 22,1 vs. 100,NBC,2006,Cancelled
February 22,The Big Story,Syndication,2001,Cancelled
February 24,CW Now,The CW,2007,Cancelled
February 24,Fox News Live,Fox News,1999,Cancelled
February 24,Weekend Live,Fox News,2002,Cancelled
February 26,Bratz,Fox,2005,Cancelled
February 29,About a Girl,Noggin,2007,Cancelled
March 03,Welcome to The Captain,CBS,2007,Cancelled
March 08,The Batman,Kids' WB,2004,Cancelled
March 09,My Fair Brady,VH1,2005,Cancelled
March 09,Quarterlife,VH1,2008,Cancelled
March 09,The Wire,HBO,2002,Ended
March 10,October Road,ABC,2007,Cancelled
March 14,Tucker,MSNBC,2005,Cancelled
March 15,Shaggy & Scooby-Doo Get a Clue!,Kids' WB,2006,Cancelled
March 15,Control Room Presents,MyNetworkTV,2007,Cancelled
March 21,Wilbur,Discovery Kids,2007,Cancelled
March 21,The Return of Jezebel James,Fox,2008,Cancelled
March 22,Tom and Jerry Tales,Kids' WB,2006,Cancelled
March 23,Frisky Dingo,Adult Swim,2006,Cancelled
March 24,The Salt-N-Pepa Show,VH1,2007,Cancelled
March 25,Jericho,CBS,2006,Cancelled
March 27,Camp Lazlo,Cartoon Network,2005,Cancelled
March 28,In the Loop with iVillage,IVillage,2006,Cancelled
March 29,How Much Is Enough?,GSN,2008,Cancelled
March 30,Unhitched,Fox,2008,Cancelled
April 03,Miss Guided,ABC,2008,Cancelled
April 05,Legion of Super Heroes,Kids' WB,2006,Cancelled
April 07,My Dad Is Better Than Your Dad,NBC,2008,Cancelled
April 08,Secret Talents of the Stars,CBS,2008,Cancelled
April 11,Amnesia,NBC,2008,Cancelled
April 13,Dirt,FX,2007,Cancelled
April 14,New Amsterdam,Fox,2008,Cancelled
April 15,Ben 10,Cartoon Network,2005,Cancelled
April 15,Rob & Big,MTV,2006,Cancelled
April 16,Human Giant,MTV,2007,Cancelled
April 17,Atomic Betty,Cartoon Network,2004,Cancelled
April 18,Canterbury's Law,Fox,2008,Cancelled
April 20,Oprah's Big Give,ABC,2008,Cancelled
April 23,Pussycat Dolls Present,The CW,2007,Cancelled
April 27,John Adams,HBO,2008,Cancelled
April 28,High School Confidential,We TV,2008,Cancelled
April 29,The Riches,FX,2007,Cancelled
May 02,Zoey 101,Nickelodeon,2005,Cancelled
May 09,Merv Griffin's Crosswords,Syndication,2007,Cancelled
May 13,Beauty and the Geek,The CW,2005,Cancelled
May 13,Women's Murder Club,ABC,2007,Cancelled
May 14,Back to You,Fox,2007,Cancelled
May 15,Lil' Bush,MTV,2007,Cancelled
May 16,Moonlight,CBS,2007,Cancelled
May 16,The Montel Williams Show,Syndication,1991,Cancelled
May 18,Aliens in America,The CW,2007,Cancelled
May 19,Life of Ryan,MTV,2007,Cancelled
May 19,Paradise Hotel,MyNetworkTV,2003,Cancelled
May 20,Shark,CBS,2006,Cancelled
May 23,Judge Hatchett,Syndication,2000,Cancelled
May 23,Temptation,Syndication,2007,Cancelled
May 24,Showtime at the Apollo,Syndication,1987,Cancelled
May 25,Class of 3000,Cartoon Network,2006,Cancelled
May 26,Flavor of Love,VH1,2006,Cancelled
May 26,Wildfire,ABC Family,2005,Cancelled
May 29,Out of Jimmy's Head,Cartoon Network,2007,Cancelled
May 30,WWE Heat,WWE,1998,Cancelled
May 31,Space Ghost Coast to Coast,Cartoon Network,1994,Cancelled
June 10,ToddWorld,Discovery Kids,2004,Cancelled
June 10,Work Out,Bravo,2006,Cancelled
June 11,Men in Trees,ABC,2006,Cancelled
June 13,America's Pulse with E.D. Hill,Syndication,2007,Cancelled
June 14,World of Quest,Kids' WB,2008,Cancelled
June 18,The Zula Patrol,PBS Kids,2005,Cancelled
June 21,Growing Up Creepie,Discovery Kids,2006,Cancelled
June 25,Farmer Wants a Wife,The CW,2008,Cancelled
June 26,I Love the New Millennium,VH1,2008,Cancelled
June 28,Endurance,Discovery Kids,2002,Cancelled
July 01,Signing Time!,Syndication,2002,Cancelled
July 04,Just In,Fox News,2008,Cancelled
July 05,The Future Is Wild,Discovery Kids,2007,Cancelled
July 06,Assy McGee,Adult Swim,2006,Cancelled
July 11,Dance Machine,ABC,2008,Cancelled
July 16,Celebrity Circus,NBC,2008,Cancelled
July 19,Avatar: The Last Airbender,Nickelodeon,2005,Cancelled
July 23,Mind of Mencia,Comedy Central,2005,Cancelled
July 25,Duel,ABC,2007,Cancelled
July 27,Living Lohan,E!,2008,Cancelled
July 29,Celebrity Family Feud,NBC,2008,Cancelled
August 04,American Gladiators,NBC,2008,Cancelled
August 07,Passions,The 101 Network,1999,Cancelled
August 11,The Mole,ABC,2001,Cancelled
August 13,Click and Clack's As the Wrench Turns,PBS,2008,Cancelled
August 17,All Grown Up!,Nickelodeon,2003,Cancelled
August 17,Shootout,AMC,2003,Cancelled
August 17,Code Monkeys,G4,2007,Cancelled
August 17,Fat Guy Stuck in Internet,Adult Swim,2007,Cancelled
August 23,Just Jordan,Nickelodeon,2007,Cancelled
August 23,ChalkZone,Nickelodeon,2002,Cancelled
August 24,Generation Kill,HBO,2008,Cancelled
August 29,Queen Bees,The N,2008,Cancelled
August 30,Disney Channel Games,Disney Channel,2006,Cancelled
September 01,The Suite Life of Zack & Cody,Disney Channel,2005,Cancelled
September 05,Swingtown,CBS,2008,Cancelled
September 05,Judge Maria Lopez,Syndication,2006,Cancelled
September 05,Northwest Afternoon,Syndication,1984,Cancelled
September 10,Greatest American Dog,CBS,2008,Cancelled
September 12,Cory in the House,Disney Channel,2007,Cancelled
September 13,El Tigre: The Adventures of Manny Rivera,Nickelodeon,2007,Cancelled
September 13,The Planet's Funniest Animals,Animal Planet,1999,Cancelled
September 16,Must Love Kids,TLC,2008,Cancelled
September 18,Wayside,Nickelodeon,2007,Cancelled
September 20,Kappa Mikey,Nicktoons,2006,Cancelled
September 20,E!'s Pam: Girl on the Loose!,E!,2008,Cancelled
September 24,Do Not Disturb,Fox,2008,Cancelled
September 26,Fried Dynamite,Cartoon Network,2007,Cancelled
September 27,My Family's Got Guts,Nickelodeon,2008,Cancelled
October 02,MTV's Top Pop Group,MTV,2008,Cancelled
October 03,Outsiders Inn,CMT,2008,Cancelled
October 11,Tutenstein,Discovery Kids,2003,Cancelled
October 14,Opportunity Knocks,ABC,2008,Cancelled
October 21,General Hospital: Night Shift,ABC,2007,Cancelled
October 21,The Janice Dickinson Modeling Agency,Oxygen,2006,Cancelled
October 22,Jurassic Fight Club,History,2008,Cancelled
October 24,The Ex List,CBS,2008,Cancelled
October 25,America's Toughest Jobs,NBC,2008,Cancelled
October 25,Bindi the Jungle Girl,Discovery Kids,2007,Cancelled
October 26,In Harm's Way,The CW,2008,Cancelled
October 30,Edgar & Ellen,Nicktoons,2007,Cancelled
November 01,Making Fiends,Nicktoons,2008,Cancelled
November 08,Rap City,BET,1989,Cancelled
November 13,3-2-1 Penguins!,Qubo,2006,Cancelled
November 16,Total Request Live,E!,1998,Cancelled
November 20,The Emperor's New School,Disney Channel,2006,Cancelled
November 20,Tim Gunn's Guide to Style,E!,2007,Cancelled
November 25,The Shield,FX,2002,Ended
November 27,My Gym Partner's a Monkey,Cartoon Network,2005,Cancelled
December 06,Hulk Hogan's Celebrity Championship Wrestling,CMT,2008,Cancelled
December 06,Horseland,Cookie Jar TV,2006,Cancelled
December 06,Care Bears: Adventures in Care-a-lot,Cookie Jar TV,2007,Cancelled
December 06,DinoSquad,Cookie Jar TV,2007,Cancelled
December 07,Rugrats Pre-School Daze,Nickelodeon,2008,Cancelled
December 08,Boston Legal,ABC,2004,Ended
December 12,South of Nowhere,The N,2005,Cancelled
December 13,Trading Spaces,TLC,2000,Cancelled
December 15,My Own Worst Enemy,NBC,2008,Cancelled
December 17,Chocolate News,Comedy Central,2008,Cancelled
December 17,Stylista,The CW,2008,Cancelled
December 18,Testees,FX,2008,Cancelled
December 18,DragonflyTV,PBS Kids,2002,Cancelled
