Oblast,Region,Orthodox,Greek Catholic,Latin Catholic,Protestant,Christian (unspecified),Not religious,Difficult to answer (incl. others)
Cherkasy Oblast,Center,89%,0.5%,0.5%,1%,5%,3%,1%
Chernihiv Oblast,Center,87%,0%,0%,0%,9%,2%,2%
Chernivtsi Oblast,West,86%,2%,1%,2%,5%,2%,2%
Dnipropetrovsk Oblast,East,83%,0%,0.5%,0.5%,9%,5%,2%
Donetsk Oblast,Donbas,69%,0%,0%,1%,15%,10%,5%
Ivano-Frankivsk Oblast,West,35%,57%,1%,1%,6%,0%,0%
Kharkiv Oblast,East,76%,0%,0%,1%,13%,8%,2%
Kherson Oblast,South,75%,0.5%,0.5%,1%,10%,10%,3%
Khmelnytskyi Oblast,Center,78%,2%,3%,2%,6%,7%,2%
Kyiv,Center,79%,1%,1%,1%,6%,11%,1%
Kyiv Oblast,Center,80%,0.5%,0.5%,1%,9%,7%,2%
Kirovohrad Oblast,Center,76%,0.5%,0%,0.5%,17%,5%,1%
Luhansk Oblast,Donbas,71%,0.5%,0%,0.5%,8%,18%,2%
Lviv Oblast,West,30%,59%,2%,1%,6%,1%,1%
Mykolaiv Oblast,South,80%,0%,0%,0%,6%,11%,1%
Odesa Oblast,South,84%,0.5%,0%,0.5%,6%,6%,1%
Poltava Oblast,Center,66%,1%,0%,1%,26%,5%,1%
Rivne Oblast,West,91%,1%,1%,5%,2%,0%,0%
Sumy Oblast,Center,85%,0.5%,1%,0.5%,7%,5%,1%
Ternopil Oblast,West,36%,52%,3%,3%,6%,0%,0%
Vinnytsia Oblast,Center,84%,0.5%,1%,0.5%,7%,6%,1%
Volyn Oblast,West,97%,1%,0.5%,1%,0.5%,0%,0%
Zakarpattia Oblast,West,68%,19%,7%,1%,3%,1%,1%
Zaporizhzhia Oblast,East,73%,0%,0%,0%,10%,16%,1%
Zhytomyr Oblast,Center,85%,0.5%,1%,0.5%,7%,5%,1%
