Year,Title,Role,Preservation Status
1916,The Prince of Graustark,Maid,Extant
1917,The Bad Boy,Ruth,Lost
1917,An Old-Fashioned Young Man,Margaret,Lost
1917,Hands Up!,Marjorie Houston,Lost
1917,The Little American,Nurse,Extant
1917,The Savage,Lizette,Lost
1918,A Hoosier Romance,Patience Thompson,Lost
1918,Little Orphant Annie,Annie,Extant
1919,The Busher,Mazie Palmer,Extant
1919,The Wilderness Trail,Jeanne Fitzpatrick,Lost
1919,The Man in the Moonlight,Rosine,Extant A copy is held at the George Eastman Museum
1919,The Egg Crate Wallop,Kitty Haskell,Extant  A copy is held at the Gosfilmofond
1919,Common Property,Tatyoe,Lost
1919,A Roman Scandal,Mary,Extant
1920,The Cyclone,Sylvia Sturgis,Lost
1920,Her Bridal Nightmare,Mary,Extant
1920,When Dawn Came,Mary Harrison,Extant A copy is held at the Library of Congress
1920,The Devil's Claim,Indora,Incomplete A copy is held at the George Eastman Museum
1920,So Long Letty,Grace Miller,Extant
1920,Dinty,Doreen O'Sullivan,Extant A copy is held at the EYE Film Institute Netherlands
1921,The Sky Pilot,Gwen,Extant
1921,His Nibs,The Girl,Extant A copy is held at the UCLA Film and Television Archive
1921,The Lotus Eater,Mavis,Lost
1922,Come on Over,Moyna Killiea,Lost
1922,The Wampas Baby Stars of 1922,Self,Lost
1922,The Wall Flower,Idalene Nobbin,Lost
1922,Affinities,Fanny Illington,Lost
1922,Forsaking All Others,Penelope Mason,Lost
1922,Broken Chains,Mercy Boone,Extant A copy is held at the George Eastman Museum
1922,The Ninety and Nine,Ruth Blake,A condensed incomplete ten minute version exists
1923,Look Your Best,Perla Quaranta,Lost
1923,The Nth Commandment,Sarah Juke,An incomplete copy is held at the Library of Congress
1923,Slippy McGee,Mary Virginia,Lost
1923,Broken Hearts of Broadway,Mary Ellis,Extant
1923,The Huntress,Bela,Lost
1923,April Showers,Maggie Muldoon,Lost
1923,Flaming Youth,Patricia Fentriss,An incomplete copy with one reel is held at the Library of Congress
1924,Through the Dark,Mary McGinn,An incomplete copy is held at the Library of Congress
1924,Painted People,Ellie Byrne,Lost
1924,The Perfect Flapper,Tommie Lou Pember,Extant A print is held at the Library of Congress
1924,Flirting with Love,Gilda Lamont,Lost
1924,So Big,Selina Peake,Lost Trailer survives at Library of Congress
1925,Sally,Sally,Lost
1925,The Desert Flower,Maggie Fortune,Lost
1925,We Moderns,Mary Sundale,Lost
1925,Ben-Hur,Crowd extra in chariot race,Extant
1926,Irene,Irene,Extant
1926,Ella Cinders,Ella Cinders,Extant
1926,It Must Be Love,Fernie Schmidt,Lost
1926,Twinkletoes,Twink Twinkletoes Minasi,Extant
1927,Orchids and Ermine,Pink Watson,Extant
1927,Naughty but Nice,Bernice Sumners,Extant
1927,Her Wild Oat,Mary Lou Smith,Extant
1928,Happiness Ahead,Mary Randall,Lost Trailer exists
1928,"Oh, Kay!",Lady Kay Rutfield,Extant A copy is held at the EYE Film Institute Netherlands
1928,Lilac Time,Jeannine Berthelot,Extant Vitaphone music + sound effects
1929,Synthetic Sin,Betty,Extant  A copy is held at the Cineteca Italiana. Vitaphone music + sound effects
1929,Why Be Good?,Pert Kelly,Extant Vitaphone music + sound effects
1929,Smiling Irish Eyes,Kathleen O'Connor,Lost Soundtrack exists
1929,Footlights and Fools,Betty Murphy/Fifi D'Auray,Lost Soundtrack exists
1933,The Power and the Glory,Sally Garner,Extant
1934,Social Register,Patsy Shaw,Extant
1934,Success at Any Price,Sarah Griswold,Extant
1934,The Scarlet Letter,Hester Prynne,Extant
