b,b2,b3,b4,b5,b6,b7,b8,b9,b10,bn for n = 11,OEIS number
1,1,1,1,1,1,1,1,1,1,1.0,A000012
2,4,8,16,32,64,128,256,512,1024,2048.0,A000079
3,9,27,81,243,729,2187,6561,19683,59049,177147.0,A000244
4,16,64,256,1024,4096,16384,65536,262144,1048576,4194304.0,A000302
5,25,125,625,3125,15625,78125,390625,1953125,9765625,48828125.0,A000351
6,36,216,1296,7776,46656,279936,1679616,10077696,60466176,362797056.0,A000400
7,49,343,2401,16807,117649,823543,5764801,40353607,282475249,1977326743.0,A000420
8,64,512,4096,32768,262144,2097152,16777216,134217728,1073741824,8589934592.0,A001018
9,81,729,6561,59049,531441,4782969,43046721,387420489,3486784401,31381059609.0,A001019
10,100,1000,10000,100000,1000000,10000000,100000000,1000000000,10000000000,100000000000.0,A011557
11,121,1331,14641,161051,1771561,19487171,214358881,2357947691,25937424601,285311670611.0,
