Nativity,2015,2010,2000,1990,1980
% population native-born,60.0%,61.8%,65.0%,71.0%,76.7%
... born in the United States,57.0%,59.1%,62.3%,68.4%,75.0%
... born in Puerto Rico or Island Areas,1.8%,1.7%,1.9%,2.2%,1.8%
... born to American parents abroad,1.2%,1.1%,0.8%,0.9%,1.8%
% population foreign-born,40.0%,38.2%,35.0%,29.0%,23.3%
... born in Cuba,13.0%,12.0%,11.5%,11.3%,10.6%
... born in Haiti,3.7%,3.5%,2.9%,1.8%,N/A
... born in Colombia,2.9%,2.8%,2.5%,1.4%,N/A
... born in Jamaica,2.3%,2.3%,2.1%,1.4%,0.7%
... born in Venezuela,1.6%,1.2%,0.7%,0.3%,N/A
... born in Nicaragua,1.5%,1.7%,1.8%,1.7%,N/A
... born in the Dominican Republic,1.2%,1.1%,1.0%,0.5%,0.2%
... born in Mexico,1.1%,1.1%,1.0%,0.5%,0.2%
... born in Honduras,1.1%,1.1%,0.9%,0.4%,N/A
... born in Peru,1.1%,1.1%,0.9%,0.5%,N/A
... born in Brazil,0.8%,0.7%,0.6%,0.2%,N/A
... born in Guatemala,0.7%,0.7%,0.4%,0.2%,N/A
... born in Argentina,0.7%,0.6%,0.5%,0.3%,N/A
... born in Canada,0.6%,0.6%,0.7%,0.7%,0.9%
... born in Ecuador,0.5%,0.5%,0.4%,0.2%,N/A
... born in El Salvador,0.5%,0.5%,0.4%,0.2%,N/A
... born in India,0.4%,0.3%,0.2%,0.1%,0.1%
... born in Trinidad and Tobago,0.4%,0.4%,0.4%,0.2%,N/A
... born in the United Kingdom,0.3%,0.3%,0.4%,0.5%,0.6%
... born in China,0.3%,0.2%,0.1%,0.1%,0.1%
... born in the Philippines,0.3%,0.2%,0.2%,0.1%,0.1%
... born in Italy,0.2%,0.2%,0.3%,0.3%,0.5%
... born in Chile,0.2%,0.2%,0.3%,0.2%,N/A
... born in the Bahamas,0.2%,0.2%,N/A,0.3%,N/A
... born in Spain,0.2%,0.2%,0.2%,0.3%,N/A
... born in Germany,0.2%,0.2%,0.4%,0.5%,0.6%
... born in Panama,0.2%,0.2%,0.2%,0.2%,N/A
... born in Russia,0.2%,0.1%,0.2%,0.3%,0.9%
... born in Poland,0.1%,0.2%,0.3%,0.5%,0.7%
... born in Hungary,0.1%,0.1%,0.1%,0.1%,0.2%
... born in Austria,< 0.1%,< 0.1%,0.1%,0.1%,0.2%
... born in other countries,3.4%,3.7%,3.3%,3.6%,6.7%
